Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv
2 3.181176e-08 3.359272e-08 6.276726e-09 1.098691e-08 5.304839e-10 6.607488e-09 5.060501e-10 4.910512e-10
3 6.283882e-09 6.636088e-09 1.239870e-09 2.170316e-09 1.047880e-10 1.305222e-09 9.996163e-11 9.699890e-11
4 1.988312e-09 2.099920e-09 3.923123e-10 6.867299e-10 3.315604e-11 4.130063e-10 3.162896e-11 3.069160e-11
5 8.144351e-10 8.602447e-10 1.606962e-10 2.812996e-10 1.358096e-11 1.691807e-10 1.295547e-11 1.257156e-11
6 3.927741e-10 4.149252e-10 7.749919e-11 1.356668e-10 6.549598e-12 8.159465e-11 6.247965e-12 6.062830e-12
7 2.120156e-10 2.240107e-10 4.183401e-11 7.323538e-11 3.535399e-12 4.404679e-11 3.372589e-12 3.272663e-12
8 1.242834e-10 1.313411e-10 2.452359e-11 4.293318e-11 2.072446e-12 2.582209e-11 1.977013e-12 1.918441e-12
9 7.759202e-11 8.201682e-11 1.531085e-11 2.680576e-11 1.293860e-12 1.612247e-11 1.234284e-12 1.197720e-12
10 5.090995e-11 5.382679e-11 1.004610e-11 1.758931e-11 8.489324e-13 1.057932e-11 8.098459e-13 7.858579e-13
11 3.477351e-11 3.677615e-11 6.862107e-12 1.201528e-11 5.798553e-13 7.226844e-12 5.531599e-13 5.367770e-13
12 2.455342e-11 2.597548e-11 4.845483e-12 8.484785e-12 4.094344e-13 5.103429e-12 3.905866e-13 3.790201e-13
13 1.782718e-11 1.886600e-11 3.518238e-12 6.161108e-12 2.972736e-13 3.705843e-12 2.835904e-13 2.751935e-13
14 1.325452e-11 1.403198e-11 2.615929e-12 4.581332e-12 2.210242e-13 2.755673e-12 2.108517e-13 2.046095e-13
15 1.005848e-11 1.065263e-11 1.985251e-12 3.477089e-12 1.677299e-13 2.091511e-12 1.600112e-13 1.552748e-13
16 7.770334e-12 8.232769e-12 1.533718e-12 2.686477e-12 1.295749e-13 1.615981e-12 1.236127e-13 1.199544e-13
17 6.097440e-12 6.463194e-12 1.203588e-12 2.108409e-12 1.016791e-13 1.268287e-12 9.700116e-14 9.413094e-14
18 4.851522e-12 5.144972e-12 9.577102e-13 1.677850e-12 8.090318e-14 1.009314e-12 7.718161e-14 7.489828e-14
19 3.908226e-12 4.146693e-12 7.715484e-13 1.351844e-12 6.517348e-14 8.132254e-13 6.217593e-14 6.033691e-14
20 3.183473e-12 3.379502e-12 6.285124e-13 1.101347e-12 5.308802e-14 6.625524e-13 5.064670e-14 4.914902e-14
