Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv
2 1.485907e-08 1.185548e-08 1.882995e-08 4.418120e-09 1.591443e-09 2.628389e-09 1.170000e-09 9.912446e-10
3 2.935286e-09 2.342116e-09 3.719499e-09 8.727652e-10 3.143598e-10 5.192248e-10 2.311149e-10 1.958069e-10
4 9.287953e-10 7.411940e-10 1.176873e-09 2.761708e-10 9.946564e-11 1.643083e-10 7.312791e-11 6.195780e-11
5 3.804554e-10 3.036640e-10 4.820467e-10 1.131319e-10 4.074124e-11 6.730944e-11 2.995412e-11 2.537921e-11
6 1.834863e-10 1.464847e-10 2.324682e-10 5.456557e-11 1.964765e-11 3.246499e-11 1.444602e-11 1.223991e-11
7 9.904811e-11 7.909553e-11 1.254802e-10 2.945772e-11 1.060535e-11 1.752688e-11 7.797942e-12 6.607251e-12
8 5.806461e-11 4.638237e-11 7.355397e-11 1.727071e-11 6.216688e-12 1.027603e-11 4.571244e-12 3.873356e-12
9 3.625257e-11 2.896900e-11 4.591919e-11 1.078423e-11 3.881065e-12 6.416758e-12 2.853969e-12 2.418335e-12
10 2.378759e-11 1.901586e-11 3.012744e-11 7.077157e-12 2.546380e-12 4.211122e-12 1.872610e-12 1.586829e-12
11 1.624888e-11 1.299512e-11 2.057733e-11 4.835018e-12 1.739221e-12 2.877076e-12 1.279109e-12 1.083946e-12
12 1.147407e-11 9.180856e-12 1.452888e-11 3.414791e-12 1.228014e-12 2.032043e-12 9.032063e-13 7.654314e-13
13 8.331432e-12 6.669827e-12 1.054825e-11 2.479970e-12 8.915747e-13 1.475819e-12 6.558058e-13 5.557962e-13
14 6.194920e-12 4.962241e-12 7.842212e-12 1.844372e-12 6.628607e-13 1.097625e-12 4.876140e-13 4.132749e-13
15 4.701555e-12 3.768332e-12 5.950891e-12 1.400061e-12 5.030056e-13 8.332461e-13 3.700546e-13 3.136557e-13
16 3.632360e-12 2.913269e-12 4.596880e-12 1.081917e-12 3.885632e-13 6.439351e-13 2.858883e-13 2.423314e-13
17 2.850618e-12 2.287883e-12 3.606975e-12 8.492782e-13 3.048949e-13 5.055015e-13 2.243516e-13 1.901824e-13
18 2.268373e-12 1.821927e-12 2.869753e-12 6.759868e-13 2.425830e-13 4.023797e-13 1.785198e-13 1.513412e-13
19 1.827523e-12 1.468995e-12 2.311614e-12 5.447616e-13 1.954073e-13 3.242886e-13 1.438191e-13 1.219322e-13
20 1.488792e-12 1.197707e-12 1.882803e-12 4.439198e-13 1.591624e-13 2.642762e-13 1.171571e-13 9.933524e-14
21 1.225059e-12 9.863973e-13 1.548969e-12 3.653938e-13 1.309450e-13 2.175430e-13 9.639886e-14 8.174129e-14
22 1.017247e-12 8.198216e-13 1.285950e-12 3.035093e-13 1.087130e-13 1.807123e-13 8.004276e-14 6.787785e-14
23 8.517118e-13 6.870721e-13 1.076461e-12 2.542062e-13 9.100547e-14 1.513682e-13 6.701441e-14 5.683449e-14
24 7.185382e-13 5.802226e-13 9.079444e-13 2.145348e-13 7.676105e-14 1.277569e-13 5.653330e-14 4.795005e-14
25 6.104204e-13 4.934327e-13 7.711500e-13 1.823215e-13 6.519786e-14 1.085800e-13 4.802441e-14 4.073653e-14
26 5.219071e-13 4.223431e-13 6.591741e-13 1.559446e-13 5.573244e-14 9.292906e-14 4.105865e-14 3.483825e-14
27 4.488821e-13 3.636614e-13 5.668043e-13 1.341790e-13 4.792420e-14 7.999143e-14 3.531196e-14 2.996884e-14
28 3.894222e-13 3.148734e-13 4.900618e-13 1.160896e-13 4.143687e-14 6.922371e-14 3.053703e-14 2.592054e-14
29 3.393123e-13 2.740402e-13 4.258788e-13 1.009555e-13 3.601114e-14 6.021143e-14 2.654312e-14 2.253378e-14
30 2.967050e-13 2.396525e-13 3.718674e-13 8.821518e-14 3.144516e-14 5.262186e-14 2.318179e-14 1.968293e-14
31 2.605326e-13 2.105248e-13 3.261532e-13 7.742799e-14 2.758055e-14 4.619431e-14 2.033651e-14 1.726944e-14
32 2.296741e-13 1.857187e-13 2.872527e-13 6.824511e-14 2.429189e-14 4.072155e-14 1.791503e-14 1.521520e-14
33 2.032118e-13 1.644856e-13 2.539828e-13 6.038825e-14 2.147917e-14 3.604095e-14 1.584378e-14 1.345827e-14
34 1.804539e-13 1.462239e-13 2.253932e-13 5.363390e-14 1.906208e-14 3.201537e-14 1.406369e-14 1.194799e-14
35 1.607949e-13 1.304473e-13 2.007156e-13 4.780132e-14 1.697568e-14 2.853814e-14 1.252697e-14 1.064400e-14
36 1.437345e-13 1.167596e-13 1.793249e-13 4.274341e-14 1.516712e-14 2.552224e-14 1.119476e-14 9.513413e-15
37 1.288798e-13 1.048369e-13 1.607096e-13 3.833977e-14 1.359318e-14 2.289611e-14 1.003523e-14 8.529283e-15
38 1.158973e-13 9.441198e-14 1.444484e-13 3.449128e-14 1.221824e-14 2.060076e-14 9.022205e-15 7.669409e-15
39 1.045107e-13 8.526411e-14 1.301931e-13 3.111592e-14 1.101288e-14 1.858739e-14 8.134005e-15 6.915425e-15
40 9.448753e-14 7.720944e-14 1.176540e-13 2.814548e-14 9.952586e-15 1.681538e-14 7.352612e-15 6.252050e-15
41 8.563960e-14 7.009437e-14 1.065889e-13 2.552294e-14 9.016913e-15 1.525077e-14 6.662974e-15 5.666522e-15
