Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv
2 3.200316e-08 3.566742e-08 9.870367e-09 1.979047e-08 9.047394e-10 9.235239e-09 8.651866e-10 8.239396e-10
3 6.321689e-09 7.045957e-09 1.949754e-09 3.909439e-09 1.787169e-10 1.824313e-09 1.709041e-10 1.627565e-10
4 2.000274e-09 2.229629e-09 6.169366e-10 1.237056e-09 5.654839e-11 5.772873e-10 5.407645e-11 5.149871e-11
5 8.193350e-10 9.133866e-10 2.527088e-10 5.067430e-10 2.316287e-11 2.364896e-10 2.215040e-11 2.109467e-11
6 3.951372e-10 4.405607e-10 1.218763e-10 2.444051e-10 1.117075e-11 1.140621e-10 1.068250e-11 1.017340e-11
7 2.132911e-10 2.378530e-10 6.579010e-11 1.319407e-10 6.029935e-12 6.157582e-11 5.766400e-12 5.491613e-12
8 1.250311e-10 1.394584e-10 3.856783e-11 7.735271e-11 3.534800e-12 3.609968e-11 3.380328e-12 3.219258e-12
9 7.805887e-11 8.708678e-11 2.407974e-11 4.829903e-11 2.206873e-12 2.254033e-11 2.110443e-12 2.009890e-12
10 5.121627e-11 5.715489e-11 1.580020e-11 3.169494e-11 1.448013e-12 1.479122e-11 1.384750e-12 1.318778e-12
11 3.498275e-11 3.905057e-11 1.079286e-11 2.165255e-11 9.890753e-13 1.010448e-11 9.458686e-13 9.008102e-13
12 2.470117e-11 2.758236e-11 7.621342e-12 1.529161e-11 6.984017e-13 7.135877e-12 6.678974e-13 6.360839e-13
13 1.793446e-11 2.003342e-11 5.533962e-12 1.110482e-11 5.070952e-13 5.181959e-12 4.849503e-13 4.618534e-13
14 1.333429e-11 1.490054e-11 4.114857e-12 8.258254e-12 3.770388e-13 3.853521e-12 3.605763e-13 3.434050e-13
15 1.011902e-11 1.131224e-11 3.122937e-12 6.268434e-12 2.861349e-13 2.924924e-12 2.736439e-13 2.606141e-13
16 7.817106e-12 8.742726e-12 2.412758e-12 4.843689e-12 2.210528e-13 2.260044e-12 2.114048e-13 2.013399e-13
17 6.134146e-12 6.863694e-12 1.893509e-12 3.801903e-12 1.734694e-13 1.773887e-12 1.658998e-13 1.580025e-13
18 4.880731e-12 5.463916e-12 1.506769e-12 3.025908e-12 1.380300e-13 1.411769e-12 1.320083e-13 1.257252e-13
19 3.931758e-12 4.403863e-12 1.213948e-12 2.438309e-12 1.111979e-13 1.137572e-12 1.063479e-13 1.012870e-13
20 3.202644e-12 3.589187e-12 9.889538e-13 1.986777e-12 9.058172e-14 9.268736e-13 8.663197e-14 8.250997e-14
21 2.634998e-12 2.954748e-12 8.137752e-13 1.635183e-12 7.453076e-14 7.628129e-13 7.128177e-14 6.789074e-14
22 2.187744e-12 2.454721e-12 6.757415e-13 1.358112e-12 6.188373e-14 6.335294e-13 5.918682e-14 5.637169e-14
23 1.831500e-12 2.056319e-12 5.657878e-13 1.137383e-12 5.180989e-14 5.305371e-13 4.955267e-14 4.719623e-14
24 1.544918e-12 1.735719e-12 4.773287e-13 9.597830e-13 4.370571e-14 4.476722e-13 4.180216e-14 3.981469e-14
25 1.312272e-12 1.475369e-12 4.055123e-13 8.155799e-13 3.712654e-14 3.803890e-13 3.551006e-14 3.382209e-14
26 1.121825e-12 1.262169e-12 3.467178e-13 6.975095e-13 3.174057e-14 3.253124e-13 3.035907e-14 2.891635e-14
27 9.647149e-13 1.086224e-12 2.982112e-13 6.000866e-13 2.729725e-14 2.798858e-13 2.610956e-14 2.486928e-14
28 8.342523e-13 9.399829e-13 2.579052e-13 5.191236e-13 2.360533e-14 2.421359e-13 2.257864e-14 2.150656e-14
29 7.253835e-13 8.176195e-13 2.241906e-13 4.513914e-13 2.051731e-14 2.105541e-13 1.962528e-14 1.869384e-14
30 6.337619e-13 7.146000e-13 1.958148e-13 3.943765e-13 1.791843e-14 1.839676e-13 1.713969e-14 1.632659e-14
31 5.562337e-13 6.273642e-13 1.717942e-13 3.461054e-13 1.571856e-14 1.614566e-13 1.503571e-14 1.432275e-14
32 4.902414e-13 5.530937e-13 1.513506e-13 3.050161e-13 1.384638e-14 1.422929e-13 1.324511e-14 1.261735e-14
33 4.337069e-13 4.895405e-13 1.338631e-13 2.698627e-13 1.224502e-14 1.258966e-13 1.171352e-14 1.115859e-14
34 3.851194e-13 4.348987e-13 1.188330e-13 2.396443e-13 1.086877e-14 1.118014e-13 1.039722e-14 9.904880e-15
35 3.431723e-13 3.877079e-13 1.058573e-13 2.135518e-13 9.680701e-15 9.962974e-14 9.260888e-15 8.822563e-15
36 3.067610e-13 3.467795e-13 9.460776e-14 1.909266e-13 8.650754e-15 8.907473e-14 8.275784e-15 7.884266e-15
37 2.750647e-13 3.111407e-13 8.481593e-14 1.712295e-13 7.754327e-15 7.988514e-14 7.418377e-15 7.067584e-15
38 2.473680e-13 2.799904e-13 7.626076e-14 1.540170e-13 6.971169e-15 7.185415e-14 6.669301e-15 6.354075e-15
39 2.230790e-13 2.526659e-13 6.875939e-14 1.389219e-13 6.284526e-15 6.481066e-14 6.012532e-15 5.728479e-15
40 2.016775e-13 2.286158e-13 6.215971e-14 1.256387e-13 5.680465e-15 5.861231e-14 5.434746e-15 5.178108e-15
41 1.827862e-13 2.073793e-13 5.633466e-14 1.139123e-13 5.147345e-15 5.314014e-14 4.924808e-15 4.692359e-15
42 1.660595e-13 1.885697e-13 5.117758e-14 1.035284e-13 4.675394e-15 4.829431e-14 4.473374e-15 4.262331e-15
43 1.512062e-13 1.718609e-13 4.659855e-14 9.430661e-14 4.256378e-15 4.399062e-14 4.072569e-15 3.880525e-15
44 1.379796e-13 1.569768e-13 4.252148e-14 8.609396e-14 3.883325e-15 4.015779e-14 3.715725e-15 3.540591e-15
45 1.261704e-13 1.436829e-13 3.888172e-14 7.876060e-14 3.550313e-15 3.673525e-14 3.397178e-15 3.237134e-15
