Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv
2 4.055506e-08 3.903498e-08 1.986532e-08 2.113031e-08 1.766142e-09 1.042308e-08 1.629909e-09 1.509963e-09
3 8.010953e-09 7.711220e-09 3.924077e-09 4.174116e-09 3.488711e-10 2.058967e-09 3.219616e-10 2.982687e-10
4 2.534786e-09 2.440152e-09 1.241630e-09 1.320809e-09 1.103865e-10 6.515343e-10 1.018725e-10 9.437653e-11
5 1.038280e-09 9.996325e-10 5.085861e-10 5.410518e-10 4.521512e-11 2.669019e-10 4.172796e-11 3.865792e-11
6 5.007291e-10 4.821623e-10 2.452757e-10 2.609529e-10 2.180560e-11 1.287300e-10 2.012401e-11 1.864357e-11
7 2.702901e-10 2.603145e-10 1.323991e-10 1.408742e-10 1.177042e-11 6.949440e-11 1.086281e-11 1.006375e-11
8 1.584448e-10 1.526290e-10 7.761361e-11 8.259032e-11 6.899810e-12 4.074229e-11 6.367825e-12 5.899459e-12
9 9.892027e-11 9.531193e-11 4.845639e-11 5.156953e-11 4.307661e-12 2.543933e-11 3.975577e-12 3.683195e-12
10 6.490443e-11 6.255349e-11 3.179413e-11 3.384121e-11 2.826362e-12 1.669373e-11 2.608504e-12 2.416684e-12
11 4.433270e-11 4.273946e-11 2.171725e-11 2.311886e-11 1.930523e-12 1.140428e-11 1.781740e-12 1.650733e-12
12 3.130345e-11 3.018817e-11 1.533494e-11 1.632721e-11 1.363140e-12 8.053911e-12 1.258102e-12 1.165609e-12
13 2.272833e-11 2.192626e-11 1.113442e-11 1.185693e-11 9.897220e-13 5.848699e-12 9.134726e-13 8.463250e-13
14 1.689873e-11 1.630857e-11 8.278767e-12 8.817599e-12 7.358639e-13 4.349400e-12 6.791833e-13 6.292654e-13
15 1.282413e-11 1.238133e-11 6.282785e-12 6.693033e-12 5.584307e-13 3.301362e-12 5.154263e-13 4.775501e-13
16 9.906983e-12 9.569087e-12 4.853773e-12 5.171805e-12 4.314006e-13 2.550955e-12 3.981863e-13 3.689305e-13
17 7.774198e-12 7.512542e-12 3.808978e-12 4.059467e-12 3.385268e-13 2.002256e-12 3.124693e-13 2.895156e-13
18 6.185756e-12 5.980517e-12 3.030831e-12 3.230917e-12 2.693571e-13 1.593551e-12 2.486292e-13 2.303687e-13
19 4.983122e-12 4.820305e-12 2.441673e-12 2.603521e-12 2.169878e-13 1.284074e-12 2.002945e-13 1.855869e-13
20 4.059107e-12 3.928648e-12 1.989000e-12 2.121407e-12 1.767514e-13 1.046263e-12 1.631575e-13 1.511794e-13
21 3.339715e-12 3.234254e-12 1.636564e-12 1.745998e-12 1.454255e-13 8.610900e-13 1.342442e-13 1.243910e-13
22 2.772895e-12 2.686970e-12 1.358869e-12 1.450160e-12 1.207434e-13 7.151675e-13 1.114627e-13 1.032836e-13
23 2.321410e-12 2.250912e-12 1.137674e-12 1.214478e-12 1.010836e-13 5.989187e-13 9.331666e-14 8.647082e-14
24 1.958209e-12 1.900007e-12 9.597272e-13 1.024847e-12 8.526814e-14 5.053862e-13 7.871868e-14 7.294528e-14
25 1.663361e-12 1.615044e-12 8.152651e-13 8.708743e-13 7.242910e-14 4.294416e-13 6.686782e-14 6.196491e-14
26 1.421993e-12 1.381686e-12 6.970024e-13 7.448046e-13 6.191883e-14 3.672676e-13 5.716634e-14 5.297608e-14
27 1.222874e-12 1.189105e-12 5.994376e-13 6.407808e-13 5.324830e-14 3.159770e-13 4.916290e-14 4.556067e-14
28 1.057489e-12 1.029033e-12 5.183713e-13 5.543318e-13 4.604420e-14 2.733530e-13 4.251297e-14 3.939926e-14
29 9.193564e-13 8.950965e-13 4.505652e-13 4.820098e-13 4.001870e-14 2.376940e-13 3.695087e-14 3.424568e-14
30 8.031055e-13 7.823322e-13 3.934992e-13 4.211310e-13 3.494777e-14 2.076762e-13 3.226984e-14 2.990838e-14
31 7.047240e-13 6.868435e-13 3.451946e-13 3.695885e-13 3.065554e-14 1.822608e-13 2.830756e-14 2.623696e-14
32 6.209876e-13 6.055458e-13 3.040852e-13 3.257143e-13 2.700279e-14 1.606257e-13 2.493555e-14 2.311241e-14
33 5.492954e-13 5.359785e-13 2.689220e-13 2.881781e-13 2.387851e-14 1.421154e-13 2.205133e-14 2.043979e-14
34 4.876813e-13 4.761652e-13 2.387020e-13 2.559113e-13 2.119353e-14 1.262034e-13 1.957260e-14 1.814288e-14
35 4.344896e-13 4.245075e-13 2.126139e-13 2.280499e-13 1.887576e-14 1.124634e-13 1.743283e-14 1.616001e-14
36 3.883408e-13 3.797044e-13 1.899978e-13 2.038907e-13 1.686653e-14 1.005488e-13 1.557788e-14 1.444103e-14
37 3.481706e-13 3.406911e-13 1.703134e-13 1.828581e-13 1.511784e-14 9.017582e-14 1.396341e-14 1.294487e-14
38 3.130719e-13 3.065909e-13 1.531162e-13 1.644785e-13 1.359016e-14 8.111091e-14 1.255296e-14 1.163776e-14
39 2.822944e-13 2.766783e-13 1.380382e-13 1.483596e-13 1.225080e-14 7.316082e-14 1.131635e-14 1.049171e-14
40 2.551923e-13 2.503498e-13 1.247735e-13 1.341756e-13 1.107257e-14 6.616482e-14 1.022849e-14 9.483493e-15
41 2.312707e-13 2.271012e-13 1.130666e-13 1.216538e-13 1.003276e-14 5.998858e-14 9.268393e-15 8.593670e-15
42 2.100915e-13 2.065092e-13 1.027028e-13 1.105656e-13 9.112283e-15 5.451935e-14 8.418473e-15 7.805936e-15
43 1.912856e-13 1.882167e-13 9.350136e-14 1.007182e-13 8.295084e-15 4.966207e-14 7.663891e-15 7.106549e-15
44 1.745407e-13 1.719216e-13 8.530918e-14 9.194831e-14 7.567557e-15 4.533627e-14 6.992092e-15 6.483875e-15
45 1.595913e-13 1.573672e-13 7.799623e-14 8.411737e-14 6.918146e-15 4.147357e-14 6.392409e-15 5.928029e-15
46 1.461993e-13 1.443344e-13 7.145160e-14 7.710704e-14 6.336995e-15 3.801564e-14 5.855745e-15 5.430583e-15
47 1.341955e-13 1.326358e-13 6.558037e-14 7.081608e-14 5.815670e-15 3.491254e-14 5.374312e-15 4.984321e-15
48 1.233912e-13 1.221102e-13 6.030104e-14 6.515754e-14 5.346927e-15 3.212140e-14 4.941426e-15 4.583049e-15
49 1.136628e-13 1.126188e-13 5.554338e-14 6.005649e-14 4.924525e-15 2.960526e-14 4.551325e-15 4.221429e-15
50 1.048683e-13 1.040417e-13 5.124670e-14 5.544817e-14 4.543073e-15 2.733217e-14 4.199031e-15 3.894847e-15
51 9.690990e-14 9.627482e-14 4.735839e-14 5.127642e-14 4.197896e-15 2.527446e-14 3.880229e-15 3.599306e-15
52 8.969932e-14 8.922773e-14 4.383270e-14 4.749245e-14 3.884929e-15 2.340803e-14 3.591168e-15 3.331328e-15
53 8.314238e-14 8.282153e-14 4.062979e-14 4.405368e-14 3.600630e-15 2.171190e-14 3.328576e-15 3.087883e-15
54 7.717491e-14 7.698728e-14 3.771479e-14 4.092292e-14 3.341905e-15 2.016772e-14 3.089598e-15 2.866323e-15
55 7.173469e-14 7.166453e-14 3.505719e-14 3.806757e-14 3.106039e-15 1.875967e-14 2.871727e-15 2.664333e-15
56 6.676949e-14 6.680018e-14 3.263015e-14 3.545898e-14 2.890651e-15 1.747347e-14 2.672765e-15 2.479871e-15
57 6.222881e-14 6.234746e-14 3.041007e-14 3.307194e-14 2.693642e-15 1.629656e-14 2.490774e-15 2.311140e-15
58 5.806943e-14 5.826507e-14 2.837611e-14 3.088417e-14 2.513162e-15 1.521795e-14 2.324045e-15 2.156555e-15
59 5.425251e-14 5.451650e-14 2.650984e-14 2.887599e-14 2.347572e-15 1.422789e-14 2.171068e-15 2.014715e-15
60 5.074497e-14 5.106937e-14 2.479492e-14 2.702994e-14 2.195422e-15 1.331778e-14 2.030501e-15 1.884379e-15
61 4.751597e-14 4.789489e-14 2.321684e-14 2.533052e-14 2.055422e-15 1.247995e-14 1.901155e-15 1.764443e-15
62 4.454275e-14 4.496747e-14 2.176269e-14 2.376392e-14 1.926427e-15 1.170762e-14 1.781971e-15 1.653927e-15
63 4.179783e-14 4.226427e-14 2.042097e-14 2.231784e-14 1.807414e-15 1.099472e-14 1.672006e-15 1.551955e-15
