Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv TEB_iter TEB_iter_ext
2 1.900655e-08 1.371555e-08 5.959546e-08 8.131795e-09 5.298401e-09 4.029732e-09 3.208107e-09 2.290870e-09 5.392300e-10 5.225853e-10
3 3.754593e-09 2.709604e-09 1.177200e-08 1.606439e-09 1.046601e-09 7.960739e-10 6.337263e-10 4.525421e-10 1.373671e-10 1.329168e-10
4 1.188052e-09 8.574998e-10 3.724759e-09 5.083515e-10 3.311529e-10 2.519379e-10 2.005255e-10 1.431973e-10 5.062050e-11 4.894266e-11
5 4.866569e-10 3.513190e-10 1.525674e-09 2.082566e-10 1.356411e-10 1.032126e-10 8.214116e-11 5.865923e-11 2.296500e-11 2.219329e-11
6 2.347079e-10 1.694760e-10 7.357688e-10 1.004532e-10 6.541385e-11 4.978453e-11 3.961624e-11 2.829187e-11 1.191303e-11 1.150902e-11
7 1.266999e-10 9.151167e-11 3.971545e-10 5.423526e-11 3.530909e-11 2.687880e-11 2.138603e-11 1.527335e-11 6.792939e-12 6.561034e-12
8 7.427591e-11 5.366457e-11 2.328079e-10 3.180068e-11 2.069776e-11 1.576015e-11 1.253757e-11 8.954379e-12 4.155709e-12 4.013123e-12
9 4.637487e-11 3.351811e-11 1.453431e-10 1.985933e-11 1.292167e-11 9.842010e-12 7.828183e-12 5.591180e-12 2.684876e-12 2.592391e-12
10 3.043007e-11 2.200264e-11 9.536131e-11 1.303434e-11 8.478019e-12 6.459558e-12 5.136833e-12 3.669108e-12 1.811799e-12 1.749189e-12
11 2.078670e-11 1.503671e-11 6.513433e-11 8.906129e-12 5.790687e-12 4.413637e-12 3.509101e-12 2.506605e-12 1.266952e-12 1.223053e-12
12 1.467880e-11 1.062359e-11 4.599016e-11 6.291017e-12 4.088678e-12 3.117612e-12 2.478102e-12 1.770258e-12 9.126207e-13 8.809288e-13
13 1.065870e-11 7.718256e-12 3.339078e-11 4.569568e-12 2.968535e-12 2.264487e-12 1.799514e-12 1.285590e-12 6.740993e-13 6.506454e-13
14 7.925609e-12 5.742492e-12 2.482554e-11 3.399028e-12 2.207048e-12 1.684387e-12 1.338158e-12 9.560638e-13 5.087517e-13 4.910213e-13
15 6.015223e-12 4.361049e-12 1.883899e-11 2.580692e-12 1.674819e-12 1.278839e-12 1.015669e-12 7.257152e-13 3.911976e-13 3.775440e-13
16 4.647436e-12 3.371654e-12 1.455309e-11 1.994673e-12 1.293786e-12 9.884233e-13 7.847688e-13 5.607800e-13 3.057633e-13 2.950775e-13
17 3.647361e-12 2.648001e-12 1.141965e-11 1.566111e-12 1.015213e-12 7.760423e-13 6.159380e-13 4.401769e-13 2.424619e-13 2.339784e-13
18 2.902486e-12 2.108815e-12 9.086002e-12 1.246840e-12 8.077435e-13 6.178241e-13 4.901855e-13 3.503422e-13 1.947502e-13 1.879288e-13
19 2.338489e-12 1.700405e-12 7.319199e-12 1.005045e-12 6.506697e-13 4.980008e-13 3.949667e-13 2.823169e-13 1.582364e-13 1.526885e-13
20 1.905128e-12 1.386464e-12 5.961752e-12 8.192099e-13 5.299893e-13 4.059101e-13 3.218001e-13 2.300431e-13 1.299069e-13 1.253482e-13
21 1.567709e-12 1.141924e-12 4.904938e-12 6.744813e-13 4.360363e-13 3.341907e-13 2.648300e-13 1.893386e-13 1.076543e-13 1.038733e-13
22 1.301831e-12 9.491461e-13 4.072281e-12 5.604081e-13 3.620116e-13 2.776629e-13 2.199370e-13 1.572613e-13 8.997791e-14 8.681530e-14
23 1.090038e-12 7.955104e-13 3.409068e-12 4.695136e-13 3.030512e-13 2.326214e-13 1.841744e-13 1.317063e-13 7.579255e-14 7.312659e-14
24 9.196485e-13 6.718453e-13 2.875554e-12 3.963647e-13 2.556213e-13 1.963748e-13 1.554010e-13 1.111442e-13 6.430187e-14 6.203852e-14
25 7.813142e-13 5.713931e-13 2.442457e-12 3.369584e-13 2.171188e-13 1.669352e-13 1.320394e-13 9.445734e-14 5.491372e-14 5.297955e-14
26 6.680609e-13 4.891097e-13 2.087925e-12 2.883073e-13 1.856009e-13 1.428701e-13 1.129123e-13 8.080141e-14 4.718244e-14 4.551954e-14
27 5.746226e-13 4.211851e-13 1.795459e-12 2.481547e-13 1.596008e-13 1.229904e-13 9.713097e-14 6.952424e-14 4.076884e-14 3.933112e-14
28 4.979234e-13 3.647103e-13 1.552464e-12 2.147781e-13 1.379988e-13 1.064532e-13 8.401662e-14 6.014993e-14 3.541210e-14 3.416256e-14
29 4.334744e-13 3.174418e-13 1.349230e-12 1.868490e-13 1.199316e-13 9.261263e-14 7.304599e-14 5.230596e-14 3.090972e-14 2.981845e-14
30 3.788948e-13 2.776327e-13 1.178197e-12 1.633331e-13 1.047271e-13 8.095722e-14 6.381180e-14 4.570236e-14 2.710309e-14 2.614569e-14
31 3.326101e-13 2.439114e-13 1.033433e-12 1.434184e-13 9.185793e-14 7.108591e-14 5.599423e-14 4.011096e-14 2.386692e-14 2.302339e-14
32 2.931606e-13 2.151919e-13 9.102410e-13 1.264620e-13 8.090653e-14 6.268039e-14 4.934018e-14 3.535118e-14 2.110150e-14 2.035532e-14
33 2.593633e-13 1.906078e-13 8.048755e-13 1.119511e-13 7.153991e-14 5.548966e-14 4.364776e-14 3.127879e-14 1.872689e-14 1.806434e-14
34 2.303036e-13 1.694632e-13 7.143285e-13 9.947377e-14 6.349066e-14 4.930521e-14 3.875481e-14 2.777787e-14 1.667854e-14 1.608817e-14
35 2.052058e-13 1.511949e-13 6.361678e-13 8.869688e-14 5.654255e-14 4.396286e-14 3.453021e-14 2.475482e-14 1.490403e-14 1.437622e-14
36 1.834332e-13 1.353448e-13 5.684145e-13 7.934925e-14 5.051965e-14 3.932881e-14 3.086725e-14 2.213338e-14 1.336051e-14 1.288713e-14
37 1.644771e-13 1.215376e-13 5.094489e-13 7.120889e-14 4.527796e-14 3.529313e-14 2.767860e-14 1.985110e-14 1.201276e-14 1.158693e-14
38 1.479114e-13 1.094644e-13 4.579379e-13 6.409305e-14 4.069897e-14 3.176530e-14 2.489237e-14 1.785663e-14 1.083167e-14 1.044752e-14
39 1.333831e-13 9.886947e-14 4.127785e-13 5.785052e-14 3.668463e-14 2.867042e-14 2.244906e-14 1.610746e-14 9.793060e-15 9.445587e-15
40 1.205965e-13 8.954017e-14 3.730536e-13 5.235547e-14 3.315340e-14 2.594611e-14 2.029920e-14 1.456817e-14 8.876757e-15 8.561648e-15
41 1.093093e-13 8.129868e-14 3.379968e-13 4.750278e-14 3.003716e-14 2.354029e-14 1.840147e-14 1.320923e-14 8.065840e-15 7.779385e-15
42 9.931525e-14 7.399571e-14 3.069650e-13 4.320415e-14 2.727872e-14 2.140918e-14 1.672114e-14 1.200585e-14 7.346062e-15 7.085048e-15
43 9.044043e-14 6.750541e-14 2.794160e-13 3.938519e-14 2.482989e-14 1.951590e-14 1.522898e-14 1.093710e-14 6.705375e-15 6.467015e-15
44 8.253766e-14 6.172116e-14 2.548912e-13 3.598288e-14 2.264989e-14 1.782922e-14 1.390022e-14 9.985260e-15 6.133550e-15 5.915417e-15
45 7.548178e-14 5.655238e-14 2.330005e-13 3.294369e-14 2.070407e-14 1.632257e-14 1.271383e-14 9.135306e-15 5.621873e-15 5.421844e-15
46 6.916566e-14 5.192179e-14 2.134118e-13 3.022195e-14 1.896287e-14 1.497332e-14 1.165187e-14 8.374390e-15 5.162887e-15 4.979104e-15
47 6.349901e-14 4.776319e-14 1.958404e-13 2.777854e-14 1.740100e-14 1.376208e-14 1.069897e-14 7.691535e-15 4.750197e-15 4.581025e-15
48 5.840247e-14 4.401975e-14 1.800420e-13 2.557990e-14 1.599675e-14 1.267219e-14 9.841949e-15 7.077309e-15 4.378294e-15 4.222294e-15
49 5.380913e-14 4.064243e-14 1.658063e-13 2.359708e-14 1.473140e-14 1.168931e-14 9.069445e-15 6.523578e-15 4.042421e-15 3.898321e-15
50 4.966000e-14 3.758887e-14 1.529512e-13 2.180505e-14 1.358879e-14 1.080103e-14 8.371633e-15 6.023316e-15 3.738456e-15 3.605128e-15
51 4.590467e-14 3.482233e-14 1.413193e-13 2.018211e-14 1.255490e-14 9.996561e-15 7.739996e-15 5.570433e-15 3.462818e-15 3.339263e-15
52 4.249920e-14 3.231084e-14 1.307733e-13 1.870940e-14 1.161754e-14 9.266650e-15 7.167133e-15 5.159630e-15 3.212388e-15 3.097713e-15
53 3.940486e-14 3.002652e-14 1.211938e-13 1.737046e-14 1.076610e-14 8.602798e-15 6.646589e-15 4.786254e-15 2.984438e-15 2.877849e-15
54 3.658828e-14 2.794500e-14 1.124765e-13 1.615091e-14 9.991302e-15 7.999265e-15 6.172723e-15 4.447011e-15 2.776582e-15 2.677369e-15
55 3.403345e-14 2.604492e-14 1.045299e-13 1.503815e-14 9.285006e-15 7.449523e-15 5.740592e-15 4.137268e-15 2.586724e-15 2.494249e-15
56 3.171612e-14 2.430749e-14 9.727353e-14 1.402109e-14 8.640072e-15 6.945921e-15 5.345853e-15 3.854169e-15 2.413017e-15 2.326710e-15
57 2.958032e-14 2.271617e-14 9.063676e-14 1.308998e-14 8.050210e-15 6.484773e-15 4.984680e-15 3.595026e-15 2.253834e-15 2.173181e-15
58 2.761861e-14 2.125635e-14 8.455710e-14 1.223619e-14 7.509871e-15 6.061777e-15 4.653698e-15 3.357503e-15 2.107736e-15 2.032273e-15
59 2.581577e-14 1.991511e-14 7.897938e-14 1.145212e-14 7.014148e-15 5.673254e-15 4.349923e-15 3.139432e-15 1.973447e-15 1.902757e-15
60 2.415857e-14 1.868098e-14 7.385465e-14 1.073099e-14 6.558691e-15 5.315884e-15 4.070708e-15 2.938951e-15 1.849835e-15 1.783540e-15
61 2.263179e-14 1.754377e-14 6.913947e-14 1.006682e-14 6.139637e-15 4.986684e-15 3.813703e-15 2.754380e-15 1.735893e-15 1.673649e-15
62 2.122429e-14 1.649442e-14 6.479516e-14 9.454245e-15 5.753550e-15 4.683184e-15 3.576815e-15 2.584222e-15 1.630723e-15 1.572220e-15
63 1.992412e-14 1.552484e-14 6.078725e-14 8.888510e-15 5.397363e-15 4.402893e-15 3.358179e-15 2.427132e-15 1.533523e-15 1.478478e-15
64 1.872318e-14 1.462779e-14 5.708494e-14 8.365353e-15 5.068341e-15 4.143610e-15 3.156128e-15 2.281930e-15 1.443574e-15 1.391731e-15
65 1.761124e-14 1.379680e-14 5.366067e-14 7.880960e-15 4.764033e-15 3.903527e-15 2.969172e-15 2.147554e-15 1.360235e-15 1.311359e-15
66 1.658111e-14 1.302606e-14 5.048977e-14 7.431912e-15 4.482246e-15 3.680945e-15 2.795973e-15 2.023042e-15 1.282927e-15 1.236804e-15
67 1.562559e-14 1.231036e-14 4.755006e-14 7.015139e-15 4.221008e-15 3.474355e-15 2.635330e-15 1.907526e-15 1.211131e-15 1.167566e-15
68 1.473833e-14 1.164499e-14 4.482158e-14 6.627876e-15 3.978544e-15 3.282387e-15 2.486164e-15 1.800249e-15 1.144380e-15 1.103193e-15
69 1.391334e-14 1.102572e-14 4.228637e-14 6.267633e-15 3.753260e-15 3.103811e-15 2.347501e-15 1.700500e-15 1.082252e-15 1.043279e-15
70 1.314582e-14 1.044874e-14 3.992822e-14 5.932161e-15 3.543714e-15 2.937514e-15 2.218464e-15 1.607657e-15 1.024365e-15 9.874563e-16
71 1.243071e-14 9.910579e-15 3.773249e-14 5.619427e-15 3.348605e-15 2.782489e-15 2.098258e-15 1.521153e-15 9.703741e-16 9.353913e-16
72 1.176407e-14 9.408120e-15 3.568595e-14 5.327594e-15 3.166755e-15 2.637824e-15 1.986166e-15 1.440473e-15 9.199673e-16 8.867828e-16
73 1.114179e-14 8.938521e-15 3.377658e-14 5.054993e-15 2.997097e-15 2.502695e-15 1.881537e-15 1.365146e-15 8.728607e-16 8.413573e-16
74 1.056028e-14 8.499206e-15 3.199347e-14 4.800109e-15 2.838663e-15 2.376350e-15 1.783780e-15 1.294753e-15 8.287965e-16 7.988662e-16
75 1.001663e-14 8.087835e-15 3.032674e-14 4.561567e-15 2.690572e-15 2.258107e-15 1.692359e-15 1.228908e-15 7.875404e-16 7.590834e-16
76 9.507741e-15 7.702272e-15 2.876739e-14 4.338115e-15 2.552026e-15 2.147345e-15 1.606786e-15 1.167262e-15 7.488788e-16 7.218027e-16
77 9.031004e-15 7.340576e-15 2.730722e-14 4.128609e-15 2.422294e-15 2.043499e-15 1.526615e-15 1.109496e-15 7.126168e-16 6.868364e-16
