Ls TT TE TB EE EB EB_gmv TEB_gmv
2 2.213427e-08 1.581868e-08 3.103375e-07 9.466768e-09 6.219837e-09 3.753633e-09 2.905127e-09
3 3.998513e-09 2.930315e-09 4.903390e-08 1.741105e-09 9.827778e-10 6.281911e-10 4.963881e-10
4 1.223519e-09 9.048047e-10 1.436485e-08 5.361747e-10 2.879144e-10 1.873250e-10 1.490224e-10
5 4.931076e-10 3.662527e-10 5.673629e-09 2.167460e-10 1.137168e-10 7.458528e-11 5.952010e-11
6 2.356682e-10 1.754788e-10 2.681396e-09 1.037636e-10 5.374336e-11 3.540543e-11 2.830284e-11
7 1.265120e-10 9.435290e-11 1.429486e-09 5.576143e-11 2.865125e-11 1.892648e-11 1.514586e-11
8 7.389686e-11 5.517587e-11 8.311037e-10 3.259433e-11 1.665781e-11 1.102389e-11 8.828170e-12
9 4.602389e-11 3.439496e-11 5.159106e-10 2.031103e-11 1.034037e-11 6.852004e-12 5.490048e-12
10 3.014687e-11 2.254649e-11 3.370998e-10 1.330995e-11 6.756456e-12 4.481524e-12 3.592125e-12
11 2.056724e-11 1.539226e-11 2.295383e-10 9.083814e-12 4.600598e-12 3.053912e-12 2.448574e-12
12 1.451029e-11 1.086610e-11 1.616890e-10 6.410785e-12 3.240694e-12 2.152562e-12 1.726312e-12
13 1.052909e-11 7.889536e-12 1.171748e-10 4.653295e-12 2.348498e-12 1.560779e-12 1.251975e-12
14 7.825194e-12 5.867040e-12 8.698820e-11 3.459376e-12 1.743469e-12 1.159235e-12 9.300445e-13
15 5.936728e-12 4.453879e-12 6.593169e-11 2.625326e-12 1.321436e-12 8.789989e-13 7.053275e-13
16 4.585479e-12 3.442324e-12 5.088141e-11 2.028421e-12 1.019786e-12 6.786139e-13 5.446138e-13
17 3.597992e-12 2.702795e-12 3.989291e-11 1.592119e-12 7.995460e-13 5.322537e-13 4.272123e-13
