Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv
2 3.361732e-08 4.534548e-08 2.736138e-08 3.390107e-08 2.837969e-09 1.243857e-08 2.618746e-09 2.309801e-09
3 6.640529e-09 8.957862e-09 5.404946e-09 6.697002e-09 5.606022e-10 2.457122e-09 5.172994e-10 4.562715e-10
4 2.101159e-09 2.834653e-09 1.710258e-09 2.119165e-09 1.773848e-10 7.775052e-10 1.636837e-10 1.443736e-10
5 8.606583e-10 1.161250e-09 7.005727e-10 8.681111e-10 7.266033e-11 3.184958e-10 6.704842e-11 5.913877e-11
6 4.150661e-10 5.601204e-10 3.378832e-10 4.187091e-10 3.504271e-11 1.536122e-10 3.233641e-11 2.852178e-11
7 2.240487e-10 3.024056e-10 1.823999e-10 2.260466e-10 1.891648e-11 8.292640e-11 1.745572e-11 1.539656e-11
8 1.313373e-10 1.773096e-10 1.069322e-10 1.325300e-10 1.108937e-11 4.861692e-11 1.023312e-11 9.026001e-12
9 8.199603e-11 1.107253e-10 6.676621e-11 8.275596e-11 6.923650e-12 3.035622e-11 6.389115e-12 5.635464e-12
10 5.379962e-11 7.267014e-11 4.381187e-11 5.430946e-11 4.543055e-12 1.992031e-11 4.192359e-12 3.697849e-12
11 3.674736e-11 4.965222e-11 2.992902e-11 3.710410e-11 3.103304e-12 1.360855e-11 2.863784e-12 2.525997e-12
12 2.594723e-11 3.507133e-11 2.113569e-11 2.620569e-11 2.191399e-12 9.610627e-12 2.022289e-12 1.783766e-12
13 1.883922e-11 2.547336e-11 1.534803e-11 1.903207e-11 1.591214e-12 6.979200e-12 1.468442e-12 1.295250e-12
14 1.400702e-11 1.894717e-11 1.141314e-11 1.415458e-11 1.183178e-12 5.190119e-12 1.091906e-12 9.631287e-13
15 1.062958e-11 1.438476e-11 8.662638e-12 1.074496e-11 8.979687e-13 3.939515e-12 8.287123e-13 7.309802e-13
16 8.211557e-12 1.111767e-11 6.693288e-12 8.303504e-12 6.937684e-13 3.044067e-12 6.402728e-13 5.647675e-13
17 6.443704e-12 8.728471e-12 5.253327e-12 6.518206e-12 5.444664e-13 2.389312e-12 5.024931e-13 4.432388e-13
18 5.127061e-12 6.948622e-12 4.180780e-12 5.188324e-12 4.332647e-13 1.901609e-12 3.998723e-13 3.527217e-13
19 4.130216e-12 5.600717e-12 3.368655e-12 4.181258e-12 3.490675e-13 1.532313e-12 3.221714e-13 2.841851e-13
20 3.364319e-12 4.564801e-12 2.744612e-12 3.407350e-12 2.843730e-13 1.248534e-12 2.624678e-13 2.315229e-13
21 2.768033e-12 3.758053e-12 2.258709e-12 2.804697e-12 2.340021e-13 1.027567e-12 2.159822e-13 1.905197e-13
22 2.298214e-12 3.122211e-12 1.875813e-12 2.329753e-12 1.943116e-13 8.534372e-13 1.793528e-13 1.582100e-13
23 1.923994e-12 2.615586e-12 1.570790e-12 1.951362e-12 1.626951e-13 7.147165e-13 1.501743e-13 1.324725e-13
24 1.622951e-12 2.207889e-12 1.325379e-12 1.646887e-12 1.372592e-13 6.031038e-13 1.266994e-13 1.117659e-13
25 1.378565e-12 1.876802e-12 1.126125e-12 1.399650e-12 1.166086e-13 5.124763e-13 1.076407e-13 9.495454e-14
