Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv
2 1.571616e-08 1.583780e-08 8.208134e-08 1.259722e-08 8.513737e-09 4.830584e-09 5.080273e-09 3.081371e-09
3 3.104593e-09 3.128880e-09 1.621349e-08 2.488647e-09 1.681724e-09 9.542835e-10 1.003560e-09 6.087039e-10
4 9.823686e-10 9.901919e-10 5.129993e-09 7.875448e-10 5.321066e-10 3.019841e-10 3.175519e-10 1.926150e-10
5 4.024006e-10 4.056860e-10 2.101211e-09 3.226466e-10 2.179498e-10 1.237141e-10 1.300800e-10 7.890366e-11
6 1.940704e-10 1.957042e-10 1.013293e-09 1.556366e-10 1.051063e-10 5.967355e-11 6.273762e-11 3.805635e-11
7 1.047618e-10 1.056751e-10 5.469355e-10 8.403373e-11 5.673329e-11 3.221808e-11 3.386809e-11 2.054497e-11
8 6.141437e-11 6.197105e-11 3.205932e-10 4.927605e-11 3.325569e-11 1.889090e-11 1.985550e-11 1.204518e-11
9 3.834416e-11 3.870671e-11 2.001372e-10 3.077478e-11 2.076112e-11 1.179721e-11 1.239755e-11 7.521224e-12
10 2.516015e-11 2.540899e-11 1.313045e-10 2.020011e-11 1.362120e-11 7.742858e-12 8.135397e-12 4.935753e-12
11 1.718657e-11 1.736490e-11 8.967840e-11 1.380355e-11 9.303330e-12 5.290519e-12 5.557609e-12 3.371998e-12
12 1.213630e-11 1.226868e-11 6.331559e-11 9.751323e-12 6.568672e-12 3.737032e-12 3.924832e-12 2.381481e-12
13 8.812365e-12 8.913614e-12 4.596602e-11 7.083736e-12 4.768939e-12 2.714429e-12 2.850150e-12 1.729512e-12
14 6.552584e-12 6.631985e-12 3.417204e-11 5.269747e-12 3.545485e-12 2.019084e-12 2.119492e-12 1.286231e-12
15 4.973051e-12 5.036668e-12 2.592917e-11 4.001494e-12 2.690388e-12 1.532965e-12 1.608751e-12 9.763603e-13
16 3.842158e-12 3.894083e-12 2.002821e-11 3.093232e-12 2.078220e-12 1.184850e-12 1.243058e-12 7.544821e-13
17 3.015302e-12 3.058376e-12 1.571422e-11 2.428967e-12 1.630675e-12 9.302731e-13 9.756663e-13 5.922396e-13
18 2.399451e-12 2.435691e-12 1.250153e-11 1.934068e-12 1.297372e-12 7.406181e-13 7.764978e-13 4.713865e-13
19 1.933155e-12 1.964028e-12 1.006935e-11 1.559235e-12 1.045037e-12 5.969861e-13 6.256866e-13 3.798716e-13
20 1.574868e-12 1.601461e-12 8.200803e-12 1.271132e-12 8.511713e-13 4.865962e-13 5.098004e-13 3.095460e-13
21 1.295908e-12 1.319039e-12 6.746185e-12 1.046738e-12 7.002469e-13 4.006249e-13 4.195658e-13 2.547842e-13
22 1.076097e-12 1.096396e-12 5.600181e-12 8.698589e-13 5.813385e-13 3.328639e-13 3.484588e-13 2.116282e-13
23 9.010009e-13 9.189552e-13 4.687457e-12 7.289076e-13 4.866312e-13 2.788710e-13 2.918123e-13 1.772462e-13
24 7.601348e-13 7.761267e-13 3.953283e-12 6.154641e-13 4.104479e-13 2.354224e-13 2.462355e-13 1.495824e-13
25 6.457709e-13 6.601061e-13 3.357344e-12 5.233246e-13 3.486061e-13 2.001276e-13 2.092301e-13 1.271160e-13
26 5.521432e-13 5.650685e-13 2.869552e-12 4.478588e-13 2.979847e-13 1.713576e-13 1.789317e-13 1.087746e-13
27 4.748980e-13 4.866140e-13 2.467192e-12 3.855691e-13 2.562270e-13 1.475572e-13 1.539324e-13 9.361721e-14
28 4.117845e-13 4.213829e-13 2.132923e-12 3.337857e-13 2.215344e-13 1.277353e-13 1.331575e-13 8.100482e-14
29 3.586620e-13 3.667844e-13 1.853378e-12 2.904490e-13 1.925198e-13 1.111405e-13 1.157780e-13 7.044974e-14
30 3.135704e-13 3.208012e-13 1.618149e-12 2.539560e-13 1.681032e-13 9.716173e-14 1.011489e-13 6.156177e-14
31 2.753074e-13 2.818490e-13 1.419070e-12 2.230477e-13 1.474380e-13 8.532066e-14 8.876376e-14 5.403527e-14
32 2.426780e-13 2.486738e-13 1.249676e-12 1.967276e-13 1.298530e-13 7.523657e-14 7.822164e-14 4.762741e-14
33 2.147085e-13 2.202750e-13 1.104810e-12 1.742005e-13 1.148134e-13 6.660606e-14 6.920273e-14 4.214459e-14
34 1.906568e-13 1.958488e-13 9.803332e-13 1.548279e-13 1.018896e-13 5.918407e-14 6.145023e-14 3.743083e-14
35 1.698820e-13 1.747448e-13 8.728972e-13 1.380932e-13 9.073427e-14 5.277299e-14 5.475648e-14 3.336019e-14
36 1.518561e-13 1.564338e-13 7.797786e-13 1.235759e-13 8.106476e-14 4.721179e-14 4.895240e-14 2.983009e-14
37 1.361614e-13 1.404826e-13 6.987480e-13 1.109318e-13 7.264991e-14 4.236861e-14 4.389971e-14 2.675659e-14
38 1.224453e-13 1.265342e-13 6.279714e-13 9.987737e-14 6.529927e-14 3.813480e-14 3.948451e-14 2.407051e-14
39 1.104158e-13 1.142935e-13 5.659305e-13 9.017820e-14 5.885538e-14 3.442050e-14 3.561259e-14 2.171466e-14
40 9.982742e-14 1.035147e-13 5.113633e-13 8.163913e-14 5.318721e-14 3.115086e-14 3.220556e-14 1.964141e-14
