Ls T E B
2 1.377601e-17 1.134676e-16 1.134836e-16
3 1.377601e-17 1.134676e-16 1.134836e-16
4 1.377601e-17 1.134676e-16 1.134836e-16
5 1.377601e-17 1.134676e-16 1.134836e-16
6 1.377601e-17 1.134676e-16 1.134836e-16
7 1.377601e-17 1.134676e-16 1.134836e-16
8 1.377601e-17 1.134676e-16 1.134836e-16
9 1.377601e-17 1.134676e-16 1.134836e-16
10 1.377601e-17 1.134676e-16 1.134836e-16
11 1.377601e-17 1.007059e-16 1.005163e-16
12 1.377601e-17 9.053760e-17 9.021034e-17
13 1.377601e-17 8.227156e-17 8.185101e-17
14 1.377601e-17 7.543734e-17 7.495339e-17
15 1.377601e-17 6.970444e-17 6.917768e-17
16 1.377601e-17 6.483472e-17 6.427928e-17
17 1.377601e-17 6.065250e-17 6.007848e-17
18 1.377601e-17 5.702572e-17 5.644039e-17
19 1.377601e-17 5.385341e-17 5.326216e-17
20 1.377601e-17 5.105723e-17 5.046383e-17
21 1.377601e-17 4.857525e-17 4.798239e-17
22 1.377601e-17 4.635848e-17 4.576817e-17
23 1.377601e-17 4.436705e-17 4.378078e-17
24 1.377601e-17 4.256854e-17 4.198752e-17
25 1.377601e-17 4.093668e-17 4.036145e-17
26 1.377601e-17 3.944927e-17 3.888050e-17
27 1.377601e-17 3.808800e-17 3.752596e-17
28 1.377601e-17 3.683739e-17 3.628221e-17
29 1.377601e-17 3.568437e-17 3.513633e-17
30 1.377601e-17 3.461792e-17 3.407701e-17
31 1.377601e-17 3.362833e-17 3.309456e-17
32 1.377601e-17 3.270753e-17 3.218063e-17
33 1.377601e-17 3.184826e-17 3.132836e-17
34 1.377601e-17 3.104444e-17 3.053141e-17
35 1.377601e-17 3.029071e-17 2.978427e-17
36 1.377601e-17 2.958221e-17 2.908237e-17
37 1.377601e-17 2.891490e-17 2.842152e-17
38 1.377601e-17 2.828502e-17 2.779783e-17
39 1.377601e-17 2.768932e-17 2.720833e-17
40 1.377601e-17 2.712513e-17 2.664993e-17
41 1.377520e-17 2.658948e-17 2.612007e-17
42 1.377453e-17 2.608035e-17 2.561659e-17
43 1.377372e-17 2.559559e-17 2.513721e-17
44 1.377291e-17 2.513344e-17 2.468018e-17
45 1.377224e-17 2.469189e-17 2.424388e-17
46 1.377143e-17 2.426986e-17 2.382669e-17
47 1.377062e-17 2.386560e-17 2.342727e-17
48 1.376981e-17 2.347816e-17 2.304442e-17
49 1.376914e-17 2.310621e-17 2.267704e-17
50 1.376833e-17 2.274879e-17 2.232393e-17
51 1.376753e-17 2.240484e-17 2.198429e-17
52 1.376685e-17 2.207368e-17 2.165730e-17
53 1.376604e-17 2.175449e-17 2.134202e-17
54 1.376524e-17 2.144648e-17 2.103791e-17
55 1.376443e-17 2.114898e-17 2.074418e-17
56 1.376376e-17 2.086143e-17 2.046013e-17
57 1.376295e-17 2.058317e-17 2.018537e-17
58 1.376214e-17 2.031380e-17 1.991936e-17
59 1.376147e-17 2.005277e-17 1.966157e-17
60 1.376066e-17 1.979955e-17 1.941158e-17
61 1.375985e-17 1.955387e-17 1.916899e-17
62 1.375904e-17 1.931519e-17 1.893328e-17
63 1.375837e-17 1.908338e-17 1.870429e-17
64 1.375756e-17 1.885789e-17 1.848163e-17
65 1.375676e-17 1.863846e-17 1.826489e-17
66 1.375608e-17 1.842495e-17 1.805381e-17
67 1.375527e-17 1.821683e-17 1.784824e-17
68 1.375447e-17 1.801409e-17 1.764779e-17
69 1.375366e-17 1.781634e-17 1.745233e-17
70 1.375299e-17 1.762329e-17 1.726157e-17
71 1.375218e-17 1.743496e-17 1.707539e-17
72 1.375137e-17 1.725107e-17 1.689352e-17
73 1.375070e-17 1.707135e-17 1.671569e-17
74 1.374989e-17 1.689568e-17 1.654203e-17
75 1.374908e-17 1.672390e-17 1.637201e-17
