Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv TEB_iter TEB_iter_ext
2 4.671160e-08 6.396511e-08 1.769067e-07 5.659192e-08 1.848028e-08 1.845309e-08 1.393105e-08 9.217127e-09 5.072843e-09 4.926454e-09
3 9.227053e-09 1.263613e-08 3.494523e-08 1.117955e-08 3.650473e-09 3.645241e-09 2.751894e-09 1.820726e-09 1.047100e-09 1.016128e-09
4 2.919579e-09 3.998624e-09 1.105720e-08 3.537637e-09 1.155054e-09 1.153459e-09 8.707502e-10 5.761143e-10 3.547223e-10 3.441384e-10
5 1.195897e-09 1.638089e-09 4.529190e-09 1.449204e-09 4.731214e-10 4.725003e-10 3.566771e-10 2.359898e-10 1.519388e-10 1.473945e-10
6 5.767431e-10 7.901226e-10 2.184311e-09 6.989946e-10 2.281709e-10 2.278900e-10 1.720192e-10 1.138147e-10 7.609787e-11 7.381812e-11
7 3.113224e-10 4.265838e-10 1.179097e-09 3.773706e-10 1.231652e-10 1.230254e-10 9.285834e-11 6.143939e-11 4.220997e-11 4.094487e-11
8 1.824986e-10 2.501201e-10 6.912061e-10 2.212556e-10 7.220004e-11 7.212615e-11 5.443638e-11 3.601807e-11 2.532198e-11 2.456269e-11
9 1.139379e-10 1.561942e-10 4.315456e-10 1.381627e-10 4.507616e-11 4.503571e-11 3.398757e-11 2.248833e-11 1.609363e-11 1.561103e-11
10 7.475819e-11 1.025123e-10 2.831583e-10 9.067334e-11 2.957595e-11 2.955357e-11 2.230159e-11 1.475637e-11 1.072441e-11 1.040279e-11
11 5.106350e-11 7.004241e-11 1.934169e-10 6.194981e-11 2.020189e-11 2.018974e-11 1.523405e-11 1.008014e-11 7.417759e-12 7.195319e-12
12 3.605627e-11 4.947401e-11 1.365776e-10 4.375513e-11 1.426475e-11 1.425859e-11 1.075762e-11 7.118284e-12 5.296255e-12 5.137437e-12
13 2.617935e-11 3.593467e-11 9.916853e-11 3.177868e-11 1.035725e-11 1.035468e-11 7.811378e-12 5.168868e-12 3.881389e-12 3.765012e-12
14 1.946472e-11 2.672850e-11 7.373628e-11 2.363550e-11 7.700812e-12 7.700437e-12 5.808359e-12 3.843534e-12 2.910142e-12 2.822893e-12
15 1.477152e-11 2.029253e-11 5.596002e-11 1.794286e-11 5.844088e-12 5.845051e-12 4.408285e-12 2.917140e-12 2.224408e-12 2.157727e-12
