Ls TT TE TB EE EB EB_gmv TEB_gmv
2 6.842937e-08 9.821758e-08 1.995271e-07 8.641740e-08 2.064582e-08 1.666453e-08 1.236401e-08
3 1.081041e-08 1.552117e-08 3.709452e-08 1.365732e-08 3.838280e-09 2.996217e-09 2.146586e-09
4 3.167045e-09 4.547719e-09 1.146740e-08 4.001600e-09 1.186554e-09 9.151836e-10 6.478477e-10
5 1.250991e-09 1.796506e-09 4.643839e-09 1.580744e-09 4.805005e-10 3.684902e-10 2.593865e-10
6 5.912867e-10 8.492108e-10 2.225158e-09 7.471991e-10 2.302347e-10 1.760029e-10 1.235072e-10
7 3.152593e-10 4.528300e-10 1.196326e-09 3.984195e-10 1.237803e-10 9.443987e-11 6.614614e-11
8 1.833138e-10 2.633446e-10 6.994350e-10 2.316923e-10 7.236697e-11 5.514342e-11 3.857481e-11
9 1.138072e-10 1.635204e-10 4.358697e-10 1.438593e-10 4.509617e-11 3.433350e-11 2.399703e-11
10 7.437208e-11 1.068804e-10 2.856089e-10 9.402432e-11 2.954904e-11 2.248323e-11 1.570483e-11
11 5.064832e-11 7.280325e-11 1.948934e-10 6.404226e-11 2.016307e-11 1.533500e-11 1.070689e-11
12 3.568206e-11 5.130343e-11 1.375133e-10 4.512670e-11 1.422625e-11 1.081638e-11 7.549437e-12
13 2.586216e-11 3.719500e-11 9.978704e-11 3.271451e-11 1.032299e-11 7.846914e-12 5.475443e-12
14 1.920229e-11 2.762544e-11 7.416006e-11 2.429580e-11 7.671597e-12 5.830553e-12 4.067643e-12
15 1.455629e-11 2.094863e-11 5.625942e-11 1.842219e-11 5.819614e-12 4.422527e-12 3.084858e-12
16 1.123519e-11 1.617512e-11 4.345026e-11 1.422311e-11 4.494417e-12 3.415226e-12 2.381936e-12
17 8.810148e-12 1.268893e-11 3.408912e-11 1.115657e-11 3.525963e-12 2.679214e-12 1.868424e-12
18 7.005933e-12 1.009474e-11 2.711956e-11 8.874775e-12 2.804946e-12 2.131323e-12 1.486221e-12
19 5.641126e-12 8.131963e-12 2.184429e-11 7.148444e-12 2.259219e-12 1.716675e-12 1.197004e-12
20 4.593278e-12 6.624695e-12 1.779211e-11 5.822820e-12 1.840033e-12 1.398197e-12 9.748885e-13
21 3.777983e-12 5.451665e-12 1.463789e-11 4.791216e-12 1.513746e-12 1.150314e-12 8.020232e-13
22 3.135937e-12 4.527679e-12 1.215304e-11 3.978678e-12 1.256709e-12 9.550471e-13 6.658606e-13
23 2.624763e-12 3.791842e-12 1.017406e-11 3.331636e-12 1.052007e-12 7.995415e-13 5.574304e-13
24 2.213702e-12 3.199955e-12 8.582221e-12 2.811208e-12 8.873546e-13 6.744616e-13 4.702199e-13
25 1.880109e-12 2.719477e-12 7.290072e-12 2.388766e-12 7.537052e-13 5.729329e-13 3.994333e-13
26 1.607100e-12 2.326139e-12 6.232368e-12 2.042964e-12 6.443084e-13 4.898271e-13 3.414931e-13
27 1.381933e-12 2.001626e-12 5.359854e-12 1.757691e-12 5.540687e-13 4.212728e-13 2.936994e-13
28 1.194887e-12 1.731963e-12 4.634936e-12 1.520653e-12 4.790967e-13 3.643155e-13 2.539917e-13
29 1.038469e-12 1.506379e-12 4.028632e-12 1.322377e-12 4.163944e-13 3.166778e-13 2.207817e-13
30 9.068509e-13 1.316492e-12 3.518390e-12 1.155490e-12 3.636284e-13 2.765874e-13 1.928336e-13
31 7.954587e-13 1.155724e-12 3.086504e-12 1.014208e-12 3.189674e-13 2.426532e-13 1.691774e-13
32 7.006721e-13 1.018869e-12 2.718962e-12 8.939507e-13 2.809618e-13 2.137742e-13 1.490455e-13
33 6.196065e-13 9.017781e-13 2.404594e-12 7.910692e-13 2.484559e-13 1.890727e-13 1.318257e-13
34 5.499446e-13 8.011165e-13 2.134425e-12 7.026317e-13 2.205214e-13 1.678436e-13 1.170267e-13
35 4.898138e-13 7.141891e-13 1.901200e-12 6.262681e-13 1.964080e-13 1.495170e-13 1.042511e-13
36 4.376903e-13 6.388034e-13 1.699017e-12 5.600502e-13 1.755049e-13 1.336291e-13 9.317544e-14
37 3.923272e-13 5.731653e-13 1.523045e-12 5.024000e-13 1.573126e-13 1.198004e-13 8.353526e-14
38 3.526985e-13 5.157973e-13 1.369309e-12 4.520189e-13 1.414198e-13 1.077187e-13 7.511284e-14
39 3.179558e-13 4.654777e-13 1.234518e-12 4.078321e-13 1.274863e-13 9.712535e-14 6.772798e-14
40 2.873931e-13 4.211897e-13 1.115937e-12 3.689463e-13 1.152290e-13 8.780561e-14 6.123089e-14
41 2.604208e-13 3.820843e-13 1.011281e-12 3.346147e-13 1.044116e-13 7.957989e-14 5.549644e-14
42 2.365442e-13 3.474486e-13 9.186315e-13 3.042107e-13 9.483587e-14 7.229754e-14 5.041958e-14
43 2.153463e-13 3.166819e-13 8.363724e-13 2.772061e-13 8.633442e-14 6.583152e-14 4.591177e-14
44 1.964742e-13 2.892755e-13 7.631351e-13 2.531537e-13 7.876581e-14 6.007437e-14 4.189808e-14
45 1.796281e-13 2.647973e-13 6.977570e-13 2.316738e-13 7.200978e-14 5.493474e-14 3.831487e-14
46 1.645524e-13 2.428785e-13 6.392468e-13 2.124422e-13 6.596383e-14 5.033476e-14 3.510783e-14
47 1.510282e-13 2.232038e-13 5.867559e-13 1.951816e-13 6.054020e-14 4.620777e-14 3.223051e-14
48 1.388678e-13 2.055019e-13 5.395558e-13 1.796540e-13 5.566354e-14 4.249653e-14 2.964300e-14
49 1.279092e-13 1.895396e-13 4.970188e-13 1.656540e-13 5.126894e-14 3.915171e-14 2.731094e-14
50 1.180126e-13 1.751148e-13 4.586023e-13 1.530043e-13 4.730029e-14 3.613071e-14 2.520460e-14
51 1.090567e-13 1.620527e-13 4.238360e-13 1.415510e-13 4.370898e-14 3.339658e-14 2.329823e-14
52 1.009363e-13 1.502009e-13 3.923113e-13 1.311606e-13 4.045273e-14 3.091720e-14 2.156946e-14
53 9.355926e-14 1.394269e-13 3.636717e-13 1.217163e-13 3.749469e-14 2.866458e-14 1.999877e-14
54 8.684553e-14 1.296147e-13 3.376058e-13 1.131164e-13 3.480267e-14 2.661423e-14 1.856908e-14
55 8.072472e-14 1.206626e-13 3.138408e-13 1.052715e-13 3.234844e-14 2.474474e-14 1.726548e-14
56 7.513495e-14 1.124813e-13 2.921367e-13 9.810309e-14 3.010723e-14 2.303724e-14 1.607481e-14
57 7.002190e-14 1.049922e-13 2.722828e-13 9.154217e-14 2.805720e-14 2.147517e-14 1.498553e-14
58 6.533750e-14 9.812585e-14 2.540926e-13 8.552771e-14 2.617911e-14 2.004389e-14 1.398743e-14
59 6.103936e-14 9.182075e-14 2.374014e-13 8.000577e-14 2.445592e-14 1.873045e-14 1.307148e-14
60 5.708985e-14 8.602250e-14 2.220632e-13 7.492855e-14 2.287254e-14 1.752339e-14 1.222969e-14
61 5.345547e-14 8.068277e-14 2.079485e-13 7.025353e-14 2.141557e-14 1.641250e-14 1.145496e-14
62 5.010658e-14 7.575840e-14 1.949416e-13 6.594292e-14 2.007307e-14 1.538873e-14 1.074096e-14
63 4.701661e-14 7.121107e-14 1.829399e-13 6.196300e-14 1.883441e-14 1.444398e-14 1.008206e-14
64 4.416187e-14 6.700644e-14 1.718513e-13 5.828362e-14 1.769009e-14 1.357104e-14 9.473228e-15
65 4.152121e-14 6.311380e-14 1.615936e-13 5.487783e-14 1.663161e-14 1.276344e-14 8.909951e-15
66 3.907560e-14 5.950559e-14 1.520931e-13 5.172145e-14 1.565135e-14 1.201539e-14 8.388194e-15
67 3.680800e-14 5.615705e-14 1.432837e-13 4.879276e-14 1.474247e-14 1.132168e-14 7.904328e-15
68 3.470304e-14 5.304598e-14 1.351057e-13 4.607221e-14 1.389881e-14 1.067764e-14 7.455092e-15
69 3.274692e-14 5.015229e-14 1.275056e-13 4.354222e-14 1.311484e-14 1.007905e-14 7.037545e-15
70 3.092720e-14 4.745788e-14 1.204349e-13 4.118689e-14 1.238554e-14 9.522097e-15 6.649038e-15
71 2.923256e-14 4.494637e-14 1.138499e-13 3.899185e-14 1.170641e-14 9.003357e-15 6.287172e-15
72 2.765284e-14 4.260298e-14 1.077111e-13 3.694411e-14 1.107335e-14 8.519715e-15 5.949781e-15
73 2.617878e-14 4.041426e-14 1.019826e-13 3.503190e-14 1.048266e-14 8.068352e-15 5.634900e-15
74 2.480202e-14 3.836805e-14 9.663191e-14 3.324452e-14 9.930974e-15 7.646710e-15 5.340743e-15
75 2.351493e-14 3.645324e-14 9.162938e-14 3.157225e-14 9.415243e-15 7.252466e-15 5.065694e-15
76 2.231060e-14 3.465975e-14 8.694815e-14 3.000624e-14 8.932684e-15 6.883504e-15 4.808275e-15
77 2.118269e-14 3.297842e-14 8.256376e-14 2.853845e-14 8.480767e-15 6.537900e-15 4.567144e-15
78 2.012546e-14 3.140084e-14 7.845382e-14 2.716150e-14 8.057184e-15 6.213895e-15 4.341077e-15
79 1.913365e-14 2.991937e-14 7.459794e-14 2.586869e-14 7.659826e-15 5.909885e-15 4.128954e-15
80 1.820246e-14 2.852699e-14 7.097747e-14 2.465388e-14 7.286766e-15 5.624402e-15 3.929753e-15
81 1.732748e-14 2.721729e-14 6.757533e-14 2.351144e-14 6.936240e-15 5.356105e-15 3.742536e-15
82 1.650469e-14 2.598440e-14 6.437587e-14 2.243621e-14 6.606632e-15 5.103763e-15 3.566448e-15
