Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv TEB_iter
2 2.194185e-08 2.220178e-08 5.307135e-07 2.065601e-08 5.544035e-08 7.158293e-09 1.504903e-08 6.337147e-09 2.174780e-09
3 4.334439e-09 4.386142e-09 1.048328e-07 4.080740e-09 1.095121e-08 1.414127e-09 2.972937e-09 1.251894e-09 5.203062e-10
4 1.371534e-09 1.388078e-09 3.316993e-08 1.291386e-09 3.465045e-09 4.474999e-10 9.407708e-10 3.961555e-10 1.849572e-10
5 5.618176e-10 5.687033e-10 1.358650e-08 5.290728e-10 1.419289e-09 1.833285e-10 3.854044e-10 1.622909e-10 8.188808e-11
6 2.709582e-10 2.743450e-10 6.552189e-09 2.552166e-10 6.844605e-10 8.842957e-11 1.858997e-10 7.828010e-11 4.174394e-11
7 1.462694e-10 1.481396e-10 3.536744e-09 1.378040e-10 3.694572e-10 4.774421e-11 1.003678e-10 4.226318e-11 2.348982e-11
8 8.574897e-11 8.687376e-11 2.073198e-09 8.080840e-11 2.165707e-10 2.799499e-11 5.884991e-11 2.478036e-11 1.422250e-11
9 5.353869e-11 5.426098e-11 1.294305e-09 5.046958e-11 1.352052e-10 1.748293e-11 3.675109e-11 1.547481e-11 9.112568e-12
10 3.513120e-11 3.561973e-11 8.492056e-10 3.312868e-11 8.870905e-11 1.147479e-11 2.412072e-11 1.015636e-11 6.107513e-12
11 2.399835e-11 2.434318e-11 5.800282e-10 2.263907e-11 6.059015e-11 7.840627e-12 1.648105e-11 6.939438e-12 4.246594e-12
12 1.694699e-11 1.719908e-11 4.095458e-10 1.599374e-11 4.278121e-11 5.538470e-12 1.164155e-11 4.901643e-12 3.044248e-12
13 1.230590e-11 1.249578e-11 2.973462e-10 1.161902e-11 3.106064e-11 4.023023e-12 8.455881e-12 3.560252e-12 2.239362e-12
14 9.150595e-12 9.297272e-12 2.210715e-10 8.644085e-12 2.309287e-11 2.992545e-12 6.289725e-12 2.648156e-12 1.684078e-12
15 6.945073e-12 7.060869e-12 1.677604e-10 6.564100e-12 1.752394e-11 2.272122e-12 4.775353e-12 2.010514e-12 1.290946e-12
16 5.365962e-12 5.459125e-12 1.295940e-10 5.074469e-12 1.353705e-11 1.756213e-12 3.690905e-12 1.553902e-12 1.006281e-12
17 4.211364e-12 4.287576e-12 1.016905e-10 3.984985e-12 1.062224e-11 1.378920e-12 2.897845e-12 1.219985e-12 7.960492e-13
