Ls TT TE TB EE EB EB_gmv TEB_gmv
2 2.566675e-08 2.573240e-08 7.981680e-07 2.403389e-08 8.259065e-08 1.861649e-08 8.273847e-09
3 4.635346e-09 4.771192e-09 1.261203e-07 4.439485e-09 1.305027e-08 3.312596e-09 1.497195e-09
4 1.418201e-09 1.473727e-09 3.694859e-08 1.369351e-09 3.823239e-09 1.008236e-09 4.583927e-10
5 5.715194e-10 5.966470e-10 1.459359e-08 5.540041e-10 1.510061e-09 4.053070e-10 1.847912e-10
6 2.731245e-10 2.858945e-10 6.897065e-09 2.653516e-10 7.136673e-10 1.934312e-10 8.832963e-11
7 1.466107e-10 1.537328e-10 3.676926e-09 1.426464e-10 3.804656e-10 1.037485e-10 4.742252e-11
8 8.563219e-11 8.990486e-11 2.137772e-09 8.340393e-11 2.212027e-10 6.056722e-11 2.770268e-11
9 5.333023e-11 5.604636e-11 1.327033e-09 5.198480e-11 1.373123e-10 3.770872e-11 1.725530e-11
10 3.493113e-11 3.674075e-11 8.670952e-10 3.407313e-11 8.972072e-11 2.469481e-11 1.130393e-11
11 2.383021e-11 2.508340e-11 5.904244e-10 2.325898e-11 6.109260e-11 1.684558e-11 7.712883e-12
12 1.681163e-11 1.770812e-11 4.159018e-10 1.641796e-11 4.303414e-11 1.188407e-11 5.442242e-12
13 1.219852e-11 1.285774e-11 3.014018e-10 1.191942e-11 3.118644e-11 8.623522e-12 3.949670e-12
14 9.065563e-12 9.561951e-12 2.237552e-10 8.862999e-12 2.315211e-11 6.409385e-12 2.935906e-12
15 6.877502e-12 7.259063e-12 1.695931e-10 6.727555e-12 1.754783e-11 4.863115e-12 2.227818e-12
16 5.311939e-12 5.610596e-12 1.308804e-10 5.199083e-12 1.354213e-11 3.756782e-12 1.721123e-12
17 4.167866e-12 4.405405e-12 1.026155e-10 4.081715e-12 1.061750e-11 2.948294e-12 1.350800e-12
18 3.316100e-12 3.507745e-12 8.158871e-11 3.249541e-12 8.441819e-12 2.346351e-12 1.075058e-12
19 2.671394e-12 2.828007e-12 6.568452e-11 2.619444e-12 6.796191e-12 1.890710e-12 8.663184e-13
20 2.176154e-12 2.305625e-12 5.347518e-11 2.135254e-12 5.532878e-12 1.540675e-12 7.059490e-13
21 1.790643e-12 1.898805e-12 4.397647e-11 1.758209e-12 4.550042e-12 1.268169e-12 5.810929e-13
22 1.486924e-12 1.578151e-12 3.649705e-11 1.461051e-12 3.776147e-12 1.053453e-12 4.827109e-13
23 1.245021e-12 1.322639e-12 3.054284e-11 1.224284e-12 3.160067e-12 8.824157e-13 4.043386e-13
24 1.050424e-12 1.116996e-12 2.575528e-11 1.033745e-12 2.664701e-12 7.448052e-13 3.412812e-13
25 8.924482e-13 9.499702e-13 2.187042e-11 8.790023e-13 2.262739e-12 6.330735e-13 2.900809e-13
26 7.631225e-13 8.131654e-13 1.869144e-11 7.522706e-13 1.933816e-12 5.415883e-13 2.481575e-13
27 6.564285e-13 7.002413e-13 1.606985e-11 6.476718e-13 1.662566e-12 4.660979e-13 2.135632e-13
28 5.677726e-13 6.063577e-13 1.389234e-11 5.607189e-13 1.437266e-12 4.033575e-13 1.848112e-13
29 4.936142e-13 5.277820e-13 1.207161e-11 4.879516e-13 1.248880e-12 3.508648e-13 1.607553e-13
30 4.311972e-13 4.616086e-13 1.053973e-11 4.266768e-13 1.090383e-12 3.066729e-13 1.405032e-13
31 3.783585e-13 4.055564e-13 9.243415e-12 3.747797e-13 9.562585e-13 2.692532e-13 1.233546e-13
32 3.333859e-13 3.578191e-13 8.140484e-12 3.305865e-13 8.421432e-13 2.373959e-13 1.087551e-13
33 2.949142e-13 3.169563e-13 7.197319e-12 2.927618e-13 7.445595e-13 2.101360e-13 9.626250e-14
34 2.618466e-13 2.818104e-13 6.386939e-12 2.602330e-13 6.607141e-13 1.866987e-13 8.552176e-14
35 2.332967e-13 2.514456e-13 5.687516e-12 2.321328e-13 5.883495e-13 1.664572e-13 7.624567e-14
36 2.085429e-13 2.250999e-13 5.081309e-12 2.077552e-13 5.256297e-13 1.489017e-13 6.820056e-14
37 1.869948e-13 2.021497e-13 4.553797e-12 1.865222e-13 4.710522e-13 1.336148e-13 6.119513e-14
38 1.681664e-13 1.820815e-13 4.093030e-12 1.679581e-13 4.233803e-13 1.202529e-13 5.507192e-14
39 1.516557e-13 1.644703e-13 3.689121e-12 1.516690e-13 3.815918e-13 1.085316e-13 4.970063e-14
40 1.371281e-13 1.489625e-13 3.333858e-12 1.373275e-13 3.448361e-13 9.821455e-14 4.497292e-14
41 1.243044e-13 1.352626e-13 3.020372e-12 1.246598e-13 3.124029e-13 8.910408e-14 4.079820e-14
42 1.129499e-13 1.231224e-13 2.742902e-12 1.134360e-13 2.836962e-13 8.103437e-14 3.710045e-14
43 1.028670e-13 1.123329e-13 2.496596e-12 1.034623e-13 2.582138e-13 7.386553e-14 3.381559e-14
44 9.388830e-14 1.027169e-13 2.277344e-12 9.457479e-14 2.355306e-13 6.747922e-14 3.088936e-14
45 8.587172e-14 9.412371e-14 2.081657e-12 8.663391e-14 2.152854e-13 6.177484e-14 2.827565e-14
46 7.869595e-14 8.642501e-14 1.906560e-12 7.952072e-14 1.971705e-13 5.666656e-14 2.593515e-14
47 7.225722e-14 7.951077e-14 1.749507e-12 7.313338e-14 1.809225e-13 5.208095e-14 2.383417e-14
48 6.646637e-14 7.328652e-14 1.608310e-12 6.738439e-14 1.663149e-13 4.795491e-14 2.194382e-14
49 6.124663e-14 6.767079e-14 1.481086e-12 6.219834e-14 1.531531e-13 4.423406e-14 2.023916e-14
50 5.653161e-14 6.259318e-14 1.366207e-12 5.751004e-14 1.412686e-13 4.087141e-14 1.869865e-14
51 5.226377e-14 5.799262e-14 1.262264e-12 5.326296e-14 1.305154e-13 3.782620e-14 1.730362e-14
52 4.839308e-14 5.381599e-14 1.168031e-12 4.940791e-14 1.207668e-13 3.506300e-14 1.603783e-14
53 4.487594e-14 5.001697e-14 1.082438e-12 4.590203e-14 1.119123e-13 3.255092e-14 1.488711e-14
54 4.167421e-14 4.655505e-14 1.004553e-12 4.270784e-14 1.038550e-13 3.026294e-14 1.383910e-14
55 3.875450e-14 4.339471e-14 9.335563e-13 3.979244e-14 9.651044e-14 2.817539e-14 1.288292e-14
56 3.608745e-14 4.050477e-14 8.687294e-13 3.712698e-14 8.980426e-14 2.626746e-14 1.200905e-14
57 3.364722e-14 3.785771e-14 8.094402e-13 3.468601e-14 8.367097e-14 2.452084e-14 1.120910e-14
58 3.141101e-14 3.542927e-14 7.551306e-13 3.244706e-14 7.805282e-14 2.291934e-14 1.047566e-14
59 2.935865e-14 3.319795e-14 7.053064e-13 3.039026e-14 7.289874e-14 2.144867e-14 9.802157e-15
60 2.747224e-14 3.114469e-14 6.595306e-13 2.849798e-14 6.816352e-14 2.009614e-14 9.182784e-15
61 2.573591e-14 2.925260e-14 6.174140e-13 2.675457e-14 6.380689e-14 1.885047e-14 8.612377e-15
62 2.413552e-14 2.750658e-14 5.786116e-13 2.514609e-14 5.979309e-14 1.770164e-14 8.086338e-15
63 2.265847e-14 2.589319e-14 5.428153e-13 2.366009e-14 5.609028e-14 1.664069e-14 7.600567e-15
64 2.129349e-14 2.440040e-14 5.097492e-13 2.228546e-14 5.266998e-14 1.565964e-14 7.151399e-15
65 2.003052e-14 2.301746e-14 4.791675e-13 2.101225e-14 4.950668e-14 1.475131e-14 6.735551e-15
66 1.886050e-14 2.173471e-14 4.508494e-13 1.983153e-14 4.657755e-14 1.390931e-14 6.350088e-15
67 1.777533e-14 2.054347e-14 4.245965e-13 1.873529e-14 4.386212e-14 1.312785e-14 5.992361e-15
68 1.676771e-14 1.943594e-14 4.002309e-13 1.771630e-14 4.134189e-14 1.240176e-14 5.660001e-15
69 1.583107e-14 1.840509e-14 3.775917e-13 1.676807e-14 3.900029e-14 1.172635e-14 5.350859e-15
70 1.495947e-14 1.744456e-14 3.565343e-13 1.588472e-14 3.682232e-14 1.109742e-14 5.063002e-15
71 1.414755e-14 1.654861e-14 3.369277e-13 1.506094e-14 3.479447e-14 1.051114e-14 4.794688e-15
72 1.339045e-14 1.571204e-14 3.186536e-13 1.429192e-14 3.290446e-14 9.964069e-15 4.544329e-15
73 1.268379e-14 1.493012e-14 3.016046e-13 1.357332e-14 3.114120e-14 9.453069e-15 4.310495e-15
74 1.202356e-14 1.419858e-14 2.856837e-13 1.290117e-14 2.949462e-14 8.975303e-15 4.091883e-15
75 1.140614e-14 1.351353e-14 2.708021e-13 1.227187e-14 2.795559e-14 8.528188e-15 3.887309e-15
76 1.082823e-14 1.287141e-14 2.568795e-13 1.168215e-14 2.651576e-14 8.109374e-15 3.695695e-15
77 1.028683e-14 1.226900e-14 2.438426e-13 1.112903e-14 2.516758e-14 7.716718e-15 3.516063e-15
78 9.779191e-15 1.170335e-14 2.316247e-13 1.060978e-14 2.390410e-14 7.348267e-15 3.347516e-15
79 9.302809e-15 1.117176e-14 2.201647e-13 1.012191e-14 2.271904e-14 7.002236e-15 3.189235e-15
80 8.855392e-15 1.067176e-14 2.094067e-13 9.663144e-15 2.160661e-14 6.676988e-15 3.040473e-15
81 8.434845e-15 1.020109e-14 1.992999e-13 9.231398e-15 2.056155e-14 6.371033e-15 2.900543e-15
82 8.039248e-15 9.757690e-15 1.897975e-13 8.824758e-15 1.957900e-14 6.082996e-15 2.768819e-15
83 7.666838e-15 9.339648e-15 1.808564e-13 8.441470e-15 1.865454e-14 5.811622e-15 2.644724e-15
84 7.315993e-15 8.945218e-15 1.724374e-13 8.079918e-15 1.778409e-14 5.555752e-15 2.527728e-15
85 6.985231e-15 8.572802e-15 1.645042e-13 7.738628e-15 1.696390e-14 5.314326e-15 2.417344e-15
86 6.673176e-15 8.220908e-15 1.570237e-13 7.416218e-15 1.619053e-14 5.086364e-15 2.313126e-15
87 6.378571e-15 7.888174e-15 1.499649e-13 7.111442e-15 1.546081e-14 4.870965e-15 2.214658e-15
88 6.100250e-15 7.573345e-15 1.432999e-13 6.823138e-15 1.477181e-14 4.667298e-15 2.121561e-15
89 5.837141e-15 7.275252e-15 1.370024e-13 6.550222e-15 1.412083e-14 4.474595e-15 2.033483e-15
90 5.588252e-15 6.992824e-15 1.310483e-13 6.291712e-15 1.350539e-14 4.292146e-15 1.950098e-15
91 5.352666e-15 6.725067e-15 1.254155e-13 6.046691e-15 1.292318e-14 4.119295e-15 1.871107e-15
92 5.129533e-15 6.471057e-15 1.200832e-13 5.814312e-15 1.237206e-14 3.955435e-15 1.796231e-15
93 4.918071e-15 6.229941e-15 1.150324e-13 5.593777e-15 1.185007e-14 3.800002e-15 1.725213e-15
94 4.717547e-15 6.000930e-15 1.102455e-13 5.384368e-15 1.135537e-14 3.652476e-15 1.657812e-15
95 4.527289e-15 5.783288e-15 1.057061e-13 5.185399e-15 1.088628e-14 3.512371e-15 1.593808e-15
96 4.346666e-15 5.576324e-15 1.013988e-13 4.996246e-15 1.044120e-14 3.379238e-15 1.532994e-15
97 4.175097e-15 5.379418e-15 9.730973e-14 4.816318e-15 1.001869e-14 3.252659e-15 1.475179e-15
98 4.012039e-15 5.191966e-15 9.342556e-14 4.645078e-15 9.617383e-15 3.132243e-15 1.420185e-15
99 3.856987e-15 5.013421e-15 8.973412e-14 4.482013e-15 9.236016e-15 3.017631e-15 1.367846e-15
100 3.709472e-15 4.843272e-15 8.622404e-14 4.326652e-15 8.873408e-15 2.908483e-15 1.318007e-15
