Ls T E B
2 1.377587e-17 1.000902e-16 1.005540e-16
3 1.377587e-17 1.000902e-16 1.005540e-16
4 1.377587e-17 1.000902e-16 1.005540e-16
5 1.377587e-17 1.000902e-16 1.005540e-16
6 1.377587e-17 1.000902e-16 1.005540e-16
7 1.377587e-17 1.000902e-16 1.005540e-16
8 1.377587e-17 1.000902e-16 1.005540e-16
9 1.377587e-17 1.000902e-16 1.005540e-16
10 1.377587e-17 1.000902e-16 1.005540e-16
11 1.377587e-17 8.848371e-17 8.872562e-17
12 1.377587e-17 7.919834e-17 7.928571e-17
13 1.377587e-17 7.162411e-17 7.160190e-17
14 1.377587e-17 6.534385e-17 6.524262e-17
15 1.377587e-17 6.006287e-17 5.990388e-17
16 1.377587e-17 5.556765e-17 5.536653e-17
17 1.377587e-17 5.170058e-17 5.146822e-17
18 1.377587e-17 4.834250e-17 4.808712e-17
19 1.377587e-17 4.540187e-17 4.512954e-17
20 1.377587e-17 4.280762e-17 4.252290e-17
21 1.377587e-17 4.050348e-17 4.020987e-17
22 1.377587e-17 3.844447e-17 3.814467e-17
23 1.377587e-17 3.659426e-17 3.629043e-17
24 1.377587e-17 3.492337e-17 3.461697e-17
25 1.377587e-17 3.340728e-17 3.309954e-17
26 1.377587e-17 3.202582e-17 3.171768e-17
27 1.377587e-17 3.076201e-17 3.045414e-17
28 1.377587e-17 2.960146e-17 2.929466e-17
29 1.377587e-17 2.853231e-17 2.822686e-17
30 1.377587e-17 2.754407e-17 2.724023e-17
31 1.377587e-17 2.662799e-17 2.632617e-17
32 1.377587e-17 2.577638e-17 2.547672e-17
33 1.377587e-17 2.498253e-17 2.468516e-17
34 1.377587e-17 2.424091e-17 2.394596e-17
35 1.377587e-17 2.354641e-17 2.325388e-17
36 1.377587e-17 2.289459e-17 2.260448e-17
37 1.377587e-17 2.228139e-17 2.199398e-17
38 1.377587e-17 2.170374e-17 2.141875e-17
39 1.377587e-17 2.115826e-17 2.087583e-17
40 1.377587e-17 2.064254e-17 2.036253e-17
41 1.377506e-17 2.015387e-17 1.987628e-17
42 1.377426e-17 1.969024e-17 1.941508e-17
43 1.377331e-17 1.924963e-17 1.897676e-17
44 1.377251e-17 1.883043e-17 1.855984e-17
45 1.377170e-17 1.843088e-17 1.816258e-17
46 1.377089e-17 1.804963e-17 1.778363e-17
47 1.376995e-17 1.768549e-17 1.742150e-17
48 1.376914e-17 1.733709e-17 1.707526e-17
49 1.376833e-17 1.700351e-17 1.674369e-17
50 1.376753e-17 1.668365e-17 1.642572e-17
51 1.376658e-17 1.637672e-17 1.612081e-17
52 1.376578e-17 1.608190e-17 1.582774e-17
53 1.376497e-17 1.579839e-17 1.554612e-17
54 1.376416e-17 1.552552e-17 1.527486e-17
55 1.376322e-17 1.526274e-17 1.501370e-17
56 1.376241e-17 1.500925e-17 1.476196e-17
57 1.376160e-17 1.476479e-17 1.451897e-17
58 1.376079e-17 1.452866e-17 1.428433e-17
59 1.375985e-17 1.430035e-17 1.405763e-17
60 1.375904e-17 1.407971e-17 1.383834e-17
61 1.375824e-17 1.386607e-17 1.362604e-17
62 1.375743e-17 1.365929e-17 1.342048e-17
63 1.375649e-17 1.345880e-17 1.322127e-17
64 1.375568e-17 1.326443e-17 1.302809e-17
65 1.375487e-17 1.307582e-17 1.284064e-17
66 1.375393e-17 1.289273e-17 1.265865e-17
67 1.375312e-17 1.271488e-17 1.248186e-17
68 1.375231e-17 1.254202e-17 1.231001e-17
69 1.375151e-17 1.237393e-17 1.214290e-17
70 1.375056e-17 1.221041e-17 1.198030e-17
71 1.374976e-17 1.205125e-17 1.182202e-17
72 1.374895e-17 1.189625e-17 1.166787e-17
73 1.374814e-17 1.174523e-17 1.151766e-17
74 1.374720e-17 1.159805e-17 1.137125e-17
75 1.374639e-17 1.145452e-17 1.122846e-17
76 1.374558e-17 1.131453e-17 1.108914e-17
77 1.374477e-17 1.117791e-17 1.095317e-17
78 1.374383e-17 1.104452e-17 1.082041e-17
79 1.374101e-17 1.091427e-17 1.069075e-17
80 1.373589e-17 1.078703e-17 1.056404e-17
81 1.373091e-17 1.066266e-17 1.044019e-17
82 1.372593e-17 1.054109e-17 1.031910e-17
83 1.372081e-17 1.042219e-17 1.020065e-17
84 1.371583e-17 1.030588e-17 1.008477e-17
