Ls TT TE TB EE EB EB_gmv TEB_gmv
2 6.572835e-08 8.082328e-08 1.032392e-07 6.168095e-08 9.956480e-09 8.572685e-09 7.209242e-09
3 1.038389e-08 1.277248e-08 1.919335e-08 9.747975e-09 1.851010e-09 1.555619e-09 1.278025e-09
4 3.042131e-09 3.742358e-09 5.933411e-09 2.856136e-09 5.722136e-10 4.767073e-10 3.884555e-10
5 1.201665e-09 1.478360e-09 2.402783e-09 1.128241e-09 2.317198e-10 1.922378e-10 1.560460e-10
6 5.679796e-10 6.988225e-10 1.151320e-09 5.332985e-10 1.110295e-10 9.189710e-11 7.443682e-11
7 3.028363e-10 3.726369e-10 6.189878e-10 2.843594e-10 5.969218e-11 4.933571e-11 3.990987e-11
8 1.760922e-10 2.167078e-10 3.618903e-10 1.653598e-10 3.489830e-11 2.881670e-11 2.329121e-11
9 1.093250e-10 1.345616e-10 2.255190e-10 1.026708e-10 2.174710e-11 1.794590e-11 1.449635e-11
10 7.144384e-11 8.795208e-11 1.477728e-10 6.710248e-11 1.424960e-11 1.175364e-11 9.490388e-12
11 4.865468e-11 5.990979e-11 1.008361e-10 4.570393e-11 9.723287e-12 8.017583e-12 6.471755e-12
12 3.427789e-11 4.221748e-11 7.114740e-11 3.220386e-11 6.860314e-12 5.655530e-12 4.564070e-12
13 2.484469e-11 3.060757e-11 5.162783e-11 2.334539e-11 4.978011e-12 4.103094e-12 3.310664e-12
14 1.844702e-11 2.273276e-11 3.836850e-11 1.733712e-11 3.699412e-12 3.048846e-12 2.459695e-12
15 1.398390e-11 1.723840e-11 2.910680e-11 1.314533e-11 2.806321e-12 2.312614e-12 1.865538e-12
16 1.079351e-11 1.331027e-11 2.247946e-11 1.014863e-11 2.167267e-12 1.785887e-12 1.440524e-12
17 8.463879e-12 1.044149e-11 1.763613e-11 7.960235e-12 1.700250e-12 1.401005e-12 1.130004e-12
18 6.730639e-12 8.306748e-12 1.403019e-11 6.331893e-12 1.352555e-12 1.114489e-12 8.988683e-13
19 5.419510e-12 6.691588e-12 1.130087e-11 5.099970e-12 1.089393e-12 8.976481e-13 7.239545e-13
20 4.412870e-12 5.451265e-12 9.204375e-12 4.154017e-12 8.872512e-13 7.310972e-13 5.896163e-13
21 3.629630e-12 4.485991e-12 7.572474e-12 3.417895e-12 7.299097e-13 6.014638e-13 4.850615e-13
22 3.012822e-12 3.725654e-12 6.286896e-12 2.838105e-12 6.059622e-13 4.993469e-13 4.027034e-13
23 2.521738e-12 3.120145e-12 5.263050e-12 2.376418e-12 5.072519e-13 4.180238e-13 3.371181e-13
24 2.126829e-12 2.633090e-12 4.439503e-12 2.005085e-12 4.278548e-13 3.526126e-13 2.843673e-13
25 1.806343e-12 2.237713e-12 3.771009e-12 1.703677e-12 3.634082e-13 2.995185e-13 2.415503e-13
26 1.544058e-12 1.914044e-12 3.223811e-12 1.456957e-12 3.106568e-13 2.560590e-13 2.065038e-13
27 1.327735e-12 1.647010e-12 2.772425e-12 1.253430e-12 2.671431e-13 2.202099e-13 1.775948e-13
28 1.148033e-12 1.425112e-12 2.397401e-12 1.084322e-12 2.309920e-13 1.904257e-13 1.535769e-13
29 9.977562e-13 1.239485e-12 2.083743e-12 9.428716e-13 2.007574e-13 1.655156e-13 1.334895e-13
30 8.713047e-13 1.083233e-12 1.819784e-12 8.238193e-13 1.753143e-13 1.445525e-13 1.165850e-13
31 7.642841e-13 9.509432e-13 1.596363e-12 7.230359e-13 1.537795e-13 1.268090e-13 1.022768e-13
32 6.732174e-13 8.383308e-13 1.406232e-12 6.372543e-13 1.354540e-13 1.117092e-13 9.010044e-14
33 5.953324e-13 7.419813e-13 1.243609e-12 5.638696e-13 1.197805e-13 9.879403e-14 7.968571e-14
34 5.284033e-13 6.591513e-13 1.103852e-12 5.007905e-13 1.063113e-13 8.769483e-14 7.073529e-14
35 4.706308e-13 5.876232e-13 9.832085e-13 4.463252e-13 9.468460e-14 7.811343e-14 6.300879e-14
36 4.205514e-13 5.255923e-13 8.786237e-13 3.990984e-13 8.460598e-14 6.980734e-14 5.631063e-14
37 3.769670e-13 4.715823e-13 7.875989e-13 3.579840e-13 7.583447e-14 6.257808e-14 5.048079e-14
38 3.388922e-13 4.243777e-13 7.080768e-13 3.220552e-13 6.817175e-14 5.626229e-14 4.538754e-14
39 3.055113e-13 3.829727e-13 6.383556e-13 2.905452e-13 6.145374e-14 5.072484e-14 4.092188e-14
40 2.761462e-13 3.465313e-13 5.770202e-13 2.628167e-13 5.554403e-14 4.585333e-14 3.699323e-14
41 2.502309e-13 3.143541e-13 5.228884e-13 2.383369e-13 5.032862e-14 4.155386e-14 3.352585e-14
42 2.272899e-13 2.858552e-13 4.749676e-13 2.166588e-13 4.571187e-14 3.774766e-14 3.045620e-14
43 2.069225e-13 2.605396e-13 4.324217e-13 1.974053e-13 4.161313e-14 3.436828e-14 2.773074e-14
44 1.887896e-13 2.379893e-13 3.945427e-13 1.802577e-13 3.796417e-14 3.135953e-14 2.530414e-14
45 1.726033e-13 2.178483e-13 3.607292e-13 1.649448e-13 3.470701e-14 2.867363e-14 2.313790e-14
46 1.581180e-13 1.998134e-13 3.304684e-13 1.512355e-13 3.179223e-14 2.626986e-14 2.119915e-14
47 1.451233e-13 1.836250e-13 3.033211e-13 1.389320e-13 2.917751e-14 2.411339e-14 1.945982e-14
48 1.334390e-13 1.690599e-13 2.789108e-13 1.278642e-13 2.682651e-14 2.217425e-14 1.789575e-14
49 1.229094e-13 1.559262e-13 2.569123e-13 1.178859e-13 2.470794e-14 2.042668e-14 1.648616e-14
