Ls TT TE TB EE EB EB_gmv TEB_gmv
2 2.463727e-08 2.127864e-08 4.129932e-07 1.744948e-08 3.983005e-08 1.213372e-08 6.484592e-09
3 4.449763e-09 3.944221e-09 6.525758e-08 3.219602e-09 6.293551e-09 2.129970e-09 1.162350e-09
4 1.361470e-09 1.218158e-09 1.911806e-08 9.926647e-10 1.843772e-09 6.452628e-10 3.546834e-10
5 5.486713e-10 4.931524e-10 7.551066e-09 4.015219e-10 7.282323e-10 2.588185e-10 1.427539e-10
6 2.622107e-10 2.362959e-10 3.568710e-09 1.922926e-10 3.441688e-10 1.233660e-10 6.817429e-11
7 1.407547e-10 1.270599e-10 1.902536e-09 1.033625e-10 1.834812e-10 6.611642e-11 3.658071e-11
8 8.221308e-11 7.430524e-11 1.106141e-09 6.043085e-11 1.066762e-10 3.857727e-11 2.136098e-11
9 5.120160e-11 4.632116e-11 6.866441e-10 3.766372e-11 6.621966e-11 2.400845e-11 1.330148e-11
10 3.353733e-11 3.036524e-11 4.486608e-10 2.468515e-11 4.326844e-11 1.571790e-11 8.711916e-12
11 2.287964e-11 2.073063e-11 3.055043e-10 1.684972e-11 2.946239e-11 1.071929e-11 5.943283e-12
12 1.614122e-11 1.463511e-11 2.152018e-10 1.189323e-11 2.075361e-11 7.560532e-12 4.193002e-12
13 1.171220e-11 1.062640e-11 1.559560e-10 8.634044e-12 1.503998e-11 5.485162e-12 3.042664e-12
14 8.704240e-12 7.902534e-12 1.157795e-10 6.419745e-12 1.116538e-11 4.076109e-12 2.261451e-12
15 6.603455e-12 5.999273e-12 8.775443e-11 4.872723e-12 8.462673e-12 3.092241e-12 1.715856e-12
16 5.100325e-12 4.636874e-12 6.772321e-11 3.765457e-12 6.530890e-12 2.388399e-12 1.325476e-12
17 4.001866e-12 3.640831e-12 5.309798e-11 2.956034e-12 5.120461e-12 1.874112e-12 1.040187e-12
18 3.184052e-12 2.898953e-12 4.221799e-11 2.353224e-12 4.071216e-12 1.491256e-12 8.277782e-13
19 2.565041e-12 2.337178e-12 3.398860e-11 1.896810e-12 3.277596e-12 1.201486e-12 6.669949e-13
20 2.089534e-12 1.905454e-12 2.767103e-11 1.546097e-12 2.668350e-12 9.789012e-13 5.434770e-13
21 1.719381e-12 1.569236e-12 2.275601e-11 1.273001e-12 2.194366e-12 8.056345e-13 4.473181e-13
22 1.427759e-12 1.304232e-12 1.888585e-11 1.057776e-12 1.821143e-12 6.691268e-13 3.715530e-13
23 1.195489e-12 1.093065e-12 1.580487e-11 8.862970e-13 1.524030e-12 5.603982e-13 3.112013e-13
24 1.008640e-12 9.231119e-13 1.332757e-11 7.483042e-13 1.285131e-12 4.729282e-13 2.626459e-13
25 8.569538e-13 7.850745e-13 1.131736e-11 6.362399e-13 1.091278e-12 4.019146e-13 2.232229e-13
26 7.327757e-13 6.720133e-13 9.672394e-12 5.444649e-13 9.326485e-13 3.437748e-13 1.909447e-13
27 6.303278e-13 5.786884e-13 8.315851e-12 4.687211e-13 8.018328e-13 2.958048e-13 1.643110e-13
28 5.451996e-13 5.010993e-13 7.189088e-12 4.057580e-13 6.931767e-13 2.559406e-13 1.421764e-13
29 4.739916e-13 4.361615e-13 6.246937e-12 3.530691e-13 6.023241e-13 2.225911e-13 1.236581e-13
30 4.140575e-13 3.814736e-13 5.454252e-12 3.087036e-13 5.258844e-13 1.945181e-13 1.080689e-13
31 3.633204e-13 3.351503e-13 4.783454e-12 2.711297e-13 4.611997e-13 1.707496e-13 9.486940e-14
32 3.201363e-13 2.956988e-13 4.212723e-12 2.391350e-13 4.061646e-13 1.505164e-13 8.363258e-14
33 2.831943e-13 2.619286e-13 3.724666e-12 2.117522e-13 3.591018e-13 1.332050e-13 7.401802e-14
34 2.514414e-13 2.328832e-13 3.305318e-12 1.882047e-13 3.186648e-13 1.183228e-13 6.575215e-14
35 2.240265e-13 2.077890e-13 2.943384e-12 1.678640e-13 2.837647e-13 1.054713e-13 5.861390e-14
36 2.002566e-13 1.860164e-13 2.629687e-12 1.502189e-13 2.535160e-13 9.432647e-14 5.242329e-14
37 1.795650e-13 1.670499e-13 2.356709e-12 1.348507e-13 2.271939e-13 8.462291e-14 4.703304e-14
38 1.614849e-13 1.504652e-13 2.118268e-12 1.214150e-13 2.042025e-13 7.614228e-14 4.232188e-14
39 1.456302e-13 1.359111e-13 1.909251e-12 1.096266e-13 1.840483e-13 6.870384e-14 3.818954e-14
40 1.316799e-13 1.230952e-13 1.725405e-12 9.924820e-14 1.663214e-13 6.215734e-14 3.455253e-14
41 1.193656e-13 1.117735e-13 1.563177e-12 9.008160e-14 1.506791e-13 5.637720e-14 3.134116e-14
42 1.084622e-13 1.017408e-13 1.419587e-12 8.196035e-14 1.368339e-13 5.125800e-14 2.849688e-14
43 9.877980e-14 9.282433e-14 1.292123e-12 7.474413e-14 1.245439e-13 4.671091e-14 2.597037e-14
44 9.015777e-14 8.487761e-14 1.178659e-12 6.831414e-14 1.136038e-13 4.266070e-14 2.371984e-14
45 8.245959e-14 7.777625e-14 1.077389e-12 6.256942e-14 1.038396e-13 3.904345e-14 2.170982e-14
