Ls,353,545,857,353_error,545_error,857_error
53,36800.0,374000.0,2760000.0,,,
114,16600.0,145000.0,799000.0,,,
187,7880.0,66300.0,287000.0,530.0,5100.0,37000.0
320,4350.0,33400.0,134000.0,180.0,1200.0,8000.0
502,2600.0,19100.0,72000.0,100.0,400.0,2600.0
684,1740.0,12500.0,43800.0,70.0,300.0,1800.0
890,1290.0,9170.0,32300.0,50.0,170.0,900.0
1158,935.0,6830.0,24000.0,33.0,100.0,500.0
1505,745.0,5340.0,18300.0,22.0,60.0,300.0
1956,608.0,4240.0,14600.0,16.0,40.0,200.0
2649,,3420.0,11600.0,,40.0,100.0
