Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv
2 1.494982e-08 1.255704e-08 2.961055e-08 7.633958e-09 2.714193e-09 3.597708e-09 2.002294e-09 1.546970e-09
3 2.953212e-09 2.480725e-09 5.848995e-09 1.508090e-09 5.361384e-10 7.107266e-10 3.955257e-10 3.055874e-10
4 9.344674e-10 7.850642e-10 1.850655e-09 4.772287e-10 1.696381e-10 2.249352e-10 1.251512e-10 9.670046e-11
5 3.827789e-10 3.216404e-10 7.580254e-10 1.955061e-10 6.948399e-11 9.215035e-11 5.126435e-11 3.961170e-11
6 1.846069e-10 1.551581e-10 3.655580e-10 9.430272e-11 3.350899e-11 4.444822e-11 2.472379e-11 1.910447e-11
7 9.965305e-11 8.377989e-11 1.973177e-10 5.091447e-11 1.808739e-11 2.399746e-11 1.334616e-11 1.031314e-11
8 5.841927e-11 4.913007e-11 1.156629e-10 2.985345e-11 1.060255e-11 1.407050e-11 7.823874e-12 6.046060e-12
9 3.647402e-11 3.068565e-11 7.220701e-11 1.864323e-11 6.619151e-12 8.786722e-12 4.884827e-12 3.775011e-12
10 2.393291e-11 2.014309e-11 4.737443e-11 1.223613e-11 4.342850e-12 5.766846e-12 3.205244e-12 2.477140e-12
11 1.634815e-11 1.376573e-11 3.235690e-11 8.360689e-12 2.966243e-12 3.940253e-12 2.189457e-12 1.692188e-12
12 1.154418e-11 9.725508e-12 2.284577e-11 5.905707e-12 2.094380e-12 2.783176e-12 1.546083e-12 1.195004e-12
13 8.382352e-12 7.065689e-12 1.658630e-11 4.289672e-12 1.520583e-12 2.021524e-12 1.122636e-12 8.677664e-13
14 6.232789e-12 5.256897e-12 1.233112e-11 3.190812e-12 1.130512e-12 1.503629e-12 8.347561e-13 6.452860e-13
15 4.730300e-12 3.992210e-12 9.357084e-12 2.422591e-12 8.578795e-13 1.141572e-12 6.335345e-13 4.897722e-13
16 3.654573e-12 3.086443e-12 7.227962e-12 1.872461e-12 6.626981e-13 8.823048e-13 4.894669e-13 3.784255e-13
17 2.868054e-12 2.423962e-12 5.671393e-12 1.470147e-12 5.200018e-13 6.927053e-13 3.841316e-13 2.970112e-13
18 2.282251e-12 1.930358e-12 4.512160e-12 1.170432e-12 4.137288e-13 5.514604e-13 3.056770e-13 2.363704e-13
19 1.838707e-12 1.556479e-12 3.634532e-12 9.434468e-13 3.332707e-13 4.444933e-13 2.462747e-13 1.904539e-13
20 1.497906e-12 1.269084e-12 2.960267e-12 7.689955e-13 2.714550e-13 3.622844e-13 2.006320e-13 1.551715e-13
21 1.232560e-12 1.045224e-12 2.435349e-12 6.331329e-13 2.233302e-13 2.982619e-13 1.650949e-13 1.276996e-13
22 1.023479e-12 8.687514e-13 2.021783e-12 5.260482e-13 1.854136e-13 2.478018e-13 1.370931e-13 1.060516e-13
23 8.569308e-13 7.281115e-13 1.692391e-12 4.407226e-13 1.552133e-13 2.075957e-13 1.147875e-13 8.880645e-14
24 7.229427e-13 6.149084e-13 1.427425e-12 3.720557e-13 1.309194e-13 1.752419e-13 9.684239e-14 7.493193e-14
25 6.141635e-13 5.229556e-13 1.212340e-12 3.162896e-13 1.111984e-13 1.489620e-13 8.227339e-14 6.366607e-14
26 5.251088e-13 4.476353e-13 1.036279e-12 2.706199e-13 9.505504e-14 1.275179e-13 7.034604e-14 5.445644e-14
27 4.516369e-13 3.854595e-13 8.910474e-13 2.329281e-13 8.173804e-14 1.097878e-13 6.050567e-14 4.685179e-14
28 3.917886e-13 3.337653e-13 7.703877e-13 2.015972e-13 7.067386e-14 9.502852e-14 5.232893e-14 4.052839e-14
29 3.413589e-13 2.904986e-13 6.694761e-13 1.753800e-13 6.142026e-14 8.267396e-14 4.548933e-14 3.523782e-14
30 2.984883e-13 2.540604e-13 5.845581e-13 1.533057e-13 5.363293e-14 7.226842e-14 3.973272e-14 3.078399e-14
31 2.620946e-13 2.231950e-13 5.126862e-13 1.346119e-13 4.704180e-14 6.345504e-14 3.485966e-14 2.701316e-14
32 2.310487e-13 1.969082e-13 4.515278e-13 1.186952e-13 4.143296e-14 5.594996e-14 3.071223e-14 2.380335e-14
33 2.044270e-13 1.744069e-13 3.992225e-13 1.050741e-13 3.663582e-14 4.953041e-14 2.716448e-14 2.105794e-14
34 1.815322e-13 1.550540e-13 3.542760e-13 9.336193e-14 3.251344e-14 4.400867e-14 2.411526e-14 1.869775e-14
35 1.617553e-13 1.383340e-13 3.154804e-13 8.324601e-14 2.895504e-14 3.923851e-14 2.148279e-14 1.665975e-14
36 1.445928e-13 1.238274e-13 2.818527e-13 7.447174e-14 2.587051e-14 3.510073e-14 1.920051e-14 1.489263e-14
37 1.296493e-13 1.111909e-13 2.525886e-13 6.683075e-14 2.318611e-14 3.149725e-14 1.721394e-14 1.335428e-14
38 1.165893e-13 1.001415e-13 2.270259e-13 6.015149e-14 2.084112e-14 2.834724e-14 1.547826e-14 1.201005e-14
39 1.051347e-13 9.044530e-14 2.046168e-13 5.429199e-14 1.878533e-14 2.558385e-14 1.395636e-14 1.083125e-14
40 9.505180e-14 8.190749e-14 1.849058e-13 4.913415e-14 1.697697e-14 2.315138e-14 1.261738e-14 9.794016e-15
41 8.615116e-14 7.436536e-14 1.675125e-13 4.457929e-14 1.538114e-14 2.100333e-14 1.143555e-14 8.878419e-15
42 7.827022e-14 6.768225e-14 1.521172e-13 4.054452e-14 1.396854e-14 1.910059e-14 1.038921e-14 8.067706e-15
43 7.127185e-14 6.174295e-14 1.384510e-13 3.696000e-14 1.271454e-14 1.741024e-14 9.460166e-15 7.347788e-15
44 6.504001e-14 5.644988e-14 1.262859e-13 3.376658e-14 1.159821e-14 1.590438e-14 8.632946e-15 6.706702e-15
