Ls T E B
2 1.374470e-17 2.963071e-17 2.960524e-17
3 1.374470e-17 2.963071e-17 2.960524e-17
4 1.374470e-17 2.963071e-17 2.960524e-17
5 1.374470e-17 2.963071e-17 2.960524e-17
6 1.374470e-17 2.963071e-17 2.960524e-17
7 1.374470e-17 2.963071e-17 2.960524e-17
8 1.374470e-17 2.963071e-17 2.960524e-17
9 1.374470e-17 2.963071e-17 2.960524e-17
10 1.374470e-17 2.963071e-17 2.960524e-17
11 1.374470e-17 2.610079e-17 2.607107e-17
12 1.374470e-17 2.326036e-17 2.322815e-17
13 1.374470e-17 2.093222e-17 2.089862e-17
14 1.374470e-17 1.899400e-17 1.895973e-17
15 1.374470e-17 1.735869e-17 1.732421e-17
16 1.374470e-17 1.596291e-17 1.592849e-17
17 1.374470e-17 1.475943e-17 1.472528e-17
18 1.374470e-17 1.371244e-17 1.367868e-17
19 1.374470e-17 1.279433e-17 1.276102e-17
20 1.374470e-17 1.198348e-17 1.195068e-17
21 1.374470e-17 1.126276e-17 1.123048e-17
22 1.374470e-17 1.061843e-17 1.058668e-17
23 1.374470e-17 1.003934e-17 1.000812e-17
24 1.374470e-17 9.516388e-18 9.485681e-18
25 1.374470e-17 9.042029e-18 9.011821e-18
26 1.374470e-17 8.610001e-18 8.580273e-18
27 1.374470e-17 8.215045e-18 8.185779e-18
28 1.374470e-17 7.852725e-18 7.823899e-18
29 1.374470e-17 7.519270e-18 7.490864e-18
30 1.374470e-17 7.211456e-18 7.183449e-18
31 1.374470e-17 6.926515e-18 6.898886e-18
32 1.374470e-17 6.662054e-18 6.634783e-18
33 1.374470e-17 6.415998e-18 6.389065e-18
34 1.374470e-17 6.186536e-18 6.159923e-18
35 1.374470e-17 5.972084e-18 5.945773e-18
36 1.374470e-17 5.771250e-18 5.745223e-18
37 1.374470e-17 5.582805e-18 5.557046e-18
38 1.374470e-17 5.405662e-18 5.380156e-18
39 1.374470e-17 5.238855e-18 5.213586e-18
40 1.374470e-17 5.081523e-18 5.056477e-18
41 1.373859e-17 4.932897e-18 4.908061e-18
42 1.373249e-17 4.792289e-18 4.767648e-18
43 1.372639e-17 4.659077e-18 4.634620e-18
44 1.372029e-17 4.532704e-18 4.508420e-18
45 1.371420e-17 4.412666e-18 4.388542e-18
46 1.370810e-17 4.298507e-18 4.274532e-18
47 1.370201e-17 4.189811e-18 4.165976e-18
48 1.369593e-17 4.086203e-18 4.062497e-18
49 1.368984e-17 3.987338e-18 3.963753e-18
50 1.368376e-17 3.892905e-18 3.869431e-18
51 1.367768e-17 3.802615e-18 3.779243e-18
52 1.367160e-17 3.716206e-18 3.692928e-18
53 1.366553e-17 3.633437e-18 3.610246e-18
54 1.365946e-17 3.554086e-18 3.530973e-18
55 1.365339e-17 3.477949e-18 3.454907e-18
56 1.364732e-17 3.404837e-18 3.381859e-18
