Ls TT TE TB EE EB EB_gmv TEB_gmv
2 5.917988e-08 5.947857e-08 7.757043e-08 3.190815e-08 1.554755e-09 1.482518e-09 1.431817e-09
3 9.349279e-09 9.399516e-09 1.442084e-08 5.043002e-09 2.890428e-10 2.733742e-10 2.625244e-10
4 2.739092e-09 2.754073e-09 4.457936e-09 1.477590e-09 8.935308e-11 8.425783e-11 8.074708e-11
5 1.081987e-09 1.087949e-09 1.805229e-09 5.836697e-10 3.618367e-11 3.407146e-11 3.261961e-11
6 5.114259e-10 5.142716e-10 8.649691e-10 2.758808e-10 1.733747e-11 1.631234e-11 1.560865e-11
7 2.726899e-10 2.742254e-10 4.650197e-10 1.470959e-10 9.320991e-12 8.765546e-12 8.384590e-12
8 1.585670e-10 1.594747e-10 2.718625e-10 8.553461e-11 5.449369e-12 5.122986e-12 4.899255e-12
9 9.844731e-11 9.902234e-11 1.694089e-10 5.310489e-11 3.395784e-12 3.191692e-12 3.051842e-12
10 6.433688e-11 6.472208e-11 1.110008e-10 3.470556e-11 2.225041e-12 2.090984e-12 1.999148e-12
11 4.381583e-11 4.408568e-11 7.573983e-11 2.363654e-11 1.518254e-12 1.426618e-12 1.363854e-12
12 3.086964e-11 3.106597e-11 5.343700e-11 1.665349e-11 1.071202e-12 1.006464e-12 9.621277e-13
13 2.237494e-11 2.252236e-11 3.877389e-11 1.207153e-11 7.772823e-13 7.302611e-13 6.980614e-13
14 1.661367e-11 1.672741e-11 2.881381e-11 8.963959e-12 5.776315e-13 5.426626e-13 5.187175e-13
15 1.259443e-11 1.268424e-11 2.185691e-11 6.795992e-12 4.381778e-13 4.116372e-13 3.934636e-13
16 9.721277e-12 9.793658e-12 1.687899e-11 5.246199e-12 3.383921e-13 3.178876e-13 3.038472e-13
17 7.623261e-12 7.682638e-12 1.324121e-11 4.114491e-12 2.654695e-13 2.493794e-13 2.383615e-13
18 6.062308e-12 6.111786e-12 1.053296e-11 3.272457e-12 2.111791e-13 1.983773e-13 1.896108e-13
19 4.881488e-12 4.923283e-12 8.483179e-12 2.635454e-12 1.700880e-13 1.597763e-13 1.527145e-13
20 3.974873e-12 4.010618e-12 6.908740e-12 2.146352e-12 1.385253e-13 1.301269e-13 1.243750e-13
21 3.269446e-12 3.300347e-12 5.683270e-12 1.765765e-12 1.139579e-13 1.070492e-13 1.023172e-13
22 2.713910e-12 2.740883e-12 4.717919e-12 1.466026e-12 9.460486e-14 8.886995e-14 8.494148e-14
23 2.271599e-12 2.295351e-12 3.949148e-12 1.227362e-12 7.919246e-14 7.439247e-14 7.110405e-14
24 1.915904e-12 1.936982e-12 3.330811e-12 1.035419e-12 6.679571e-14 6.274779e-14 5.997427e-14
25 1.627235e-12 1.646074e-12 2.828922e-12 8.796319e-13 5.673334e-14 5.329592e-14 5.094040e-14
26 1.390987e-12 1.407930e-12 2.418123e-12 7.521224e-13 4.849708e-14 4.555940e-14 4.354602e-14
27 1.196134e-12 1.211461e-12 2.079277e-12 6.469442e-13 4.170323e-14 3.917776e-14 3.744663e-14
28 1.034264e-12 1.048203e-12 1.797772e-12 5.595608e-13 3.605896e-14 3.387594e-14 3.237930e-14
29 8.988976e-13 9.116343e-13 1.562349e-12 4.864758e-13 3.133849e-14 2.944187e-14 2.814134e-14
30 7.849906e-13 7.966790e-13 1.364241e-12 4.249691e-13 2.736616e-14 2.571051e-14 2.457502e-14
31 6.885851e-13 6.993543e-13 1.196571e-12 3.729058e-13 2.400405e-14 2.255234e-14 2.155653e-14
32 6.065495e-13 6.165089e-13 1.053895e-12 3.285967e-13 2.114302e-14 1.986485e-14 1.898789e-14
33 5.363872e-13 5.456286e-13 9.318708e-13 2.906951e-13 1.869606e-14 1.756629e-14 1.679098e-14
34 4.760934e-13 4.846955e-13 8.270133e-13 2.581193e-13 1.659328e-14 1.559101e-14 1.490304e-14
35 4.240478e-13 4.320776e-13 7.365035e-13 2.299952e-13 1.477817e-14 1.388593e-14 1.327336e-14
36 3.789319e-13 3.864476e-13 6.580483e-13 2.056114e-13 1.320475e-14 1.240789e-14 1.186067e-14
37 3.396667e-13 3.467186e-13 5.897713e-13 1.843860e-13 1.183541e-14 1.112154e-14 1.063118e-14
38 3.053643e-13 3.119963e-13 5.301279e-13 1.658399e-13 1.063919e-14 9.997796e-15 9.557109e-15
39 2.752905e-13 2.815410e-13 4.778402e-13 1.495768e-13 9.590459e-15 9.012596e-15 8.615452e-15
40 2.488344e-13 2.547370e-13 4.318461e-13 1.352671e-13 8.667925e-15 8.145933e-15 7.787088e-15
41 2.254857e-13 2.310705e-13 3.912577e-13 1.226356e-13 7.853788e-15 7.381091e-15 7.056040e-15
42 2.048164e-13 2.101099e-13 3.553302e-13 1.114512e-13 7.133113e-15 6.704040e-15 6.408902e-15
43 1.864656e-13 1.914911e-13 3.234356e-13 1.015191e-13 6.493312e-15 6.102958e-15 5.834371e-15
44 1.701280e-13 1.749065e-13 2.950425e-13 9.267448e-14 5.923730e-15 5.567835e-15 5.322882e-15
45 1.555440e-13 1.600943e-13 2.696997e-13 8.477731e-14 5.415316e-15 5.090171e-15 4.866311e-15
46 1.424923e-13 1.468314e-13 2.470219e-13 7.770816e-14 4.960351e-15 4.662715e-15 4.457728e-15
47 1.307837e-13 1.349268e-13 2.266799e-13 7.136480e-14 4.552228e-15 4.279262e-15 4.091202e-15
48 1.202555e-13 1.242163e-13 2.083908e-13 6.565946e-14 4.185277e-15 3.934484e-15 3.761641e-15
49 1.107677e-13 1.145587e-13 1.919107e-13 6.051649e-14 3.854609e-15 3.623791e-15 3.464658e-15
50 1.021991e-13 1.058317e-13 1.770291e-13 5.587053e-14 3.556003e-15 3.343216e-15 3.196461e-15
51 9.444497e-14 9.792933e-14 1.635636e-13 5.166494e-14 3.285796e-15 3.089321e-15 2.953766e-15
52 8.741395e-14 9.075958e-14 1.513553e-13 4.785043e-14 3.040807e-15 2.859116e-15 2.733713e-15
53 8.102654e-14 8.424206e-14 1.402659e-13 4.438406e-14 2.818263e-15 2.649996e-15 2.533814e-15
54 7.521334e-14 7.830662e-14 1.301747e-13 4.122831e-14 2.615740e-15 2.459685e-15 2.351892e-15
55 6.991339e-14 7.289172e-14 1.209756e-13 3.835028e-14 2.431112e-15 2.286186e-15 2.186040e-15
56 6.507323e-14 6.794325e-14 1.125757e-13 3.572107e-14 2.262516e-15 2.127748e-15 2.034584e-15
57 6.064577e-14 6.341360e-14 1.048929e-13 3.331525e-14 2.108307e-15 1.982827e-15 1.896047e-15
58 5.658942e-14 5.926082e-14 9.785520e-14 3.111034e-14 1.967038e-15 1.850062e-15 1.769130e-15
59 5.286748e-14 5.544765e-14 9.139848e-14 2.908649e-14 1.837425e-15 1.728250e-15 1.652681e-15
60 4.944738e-14 5.194120e-14 8.546617e-14 2.722611e-14 1.718333e-15 1.616321e-15 1.545681e-15
61 4.630014e-14 4.871216e-14 8.000797e-14 2.551354e-14 1.608752e-15 1.513330e-15 1.447222e-15
62 4.340004e-14 4.573445e-14 7.497907e-14 2.393487e-14 1.507786e-15 1.418431e-15 1.356499e-15
63 4.072413e-14 4.298486e-14 7.033959e-14 2.247768e-14 1.414633e-15 1.330874e-15 1.272794e-15
64 3.825190e-14 4.044261e-14 6.605389e-14 2.113091e-14 1.328578e-15 1.249987e-15 1.195464e-15
65 3.596504e-14 3.808911e-14 6.209006e-14 1.988460e-14 1.248982e-15 1.175168e-15 1.123935e-15
66 3.384705e-14 3.590768e-14 5.841953e-14 1.872989e-14 1.175271e-15 1.105879e-15 1.057692e-15
67 3.188319e-14 3.388336e-14 5.501659e-14 1.765877e-14 1.106931e-15 1.041637e-15 9.962725e-16
68 3.006018e-14 3.200267e-14 5.185820e-14 1.666405e-14 1.043498e-15 9.820049e-16 9.392606e-16
69 2.836605e-14 3.025348e-14 4.892353e-14 1.573927e-14 9.845543e-16 9.265923e-16 8.862819e-16
70 2.679000e-14 2.862484e-14 4.619385e-14 1.487858e-14 9.297248e-16 8.750454e-16 8.369984e-16
71 2.532229e-14 2.710684e-14 4.365218e-14 1.407670e-14 8.786688e-16 8.270445e-16 7.911048e-16
72 2.395409e-14 2.569053e-14 4.128319e-14 1.332886e-14 8.310787e-16 7.823008e-16 7.483246e-16
73 2.267739e-14 2.436776e-14 3.907300e-14 1.263072e-14 7.866758e-16 7.405521e-16 7.084075e-16
74 2.148493e-14 2.313119e-14 3.700897e-14 1.197835e-14 7.452069e-16 7.015609e-16 6.711264e-16
75 2.037014e-14 2.197409e-14 3.507969e-14 1.136818e-14 7.064426e-16 6.651111e-16 6.362749e-16
76 1.932701e-14 2.089038e-14 3.327469e-14 1.079696e-14 6.701733e-16 6.310063e-16 6.036651e-16
77 1.835006e-14 1.987447e-14 3.158451e-14 1.026173e-14 6.362087e-16 5.990677e-16 5.731259e-16
78 1.743432e-14 1.892132e-14 3.000047e-14 9.759795e-15 6.043754e-16 5.691319e-16 5.445015e-16
79 1.657524e-14 1.802627e-14 2.851468e-14 9.288678e-15 5.745143e-16 5.410499e-16 5.176492e-16
80 1.576865e-14 1.718511e-14 2.711992e-14 8.846127e-15 5.464807e-16 5.146854e-16 4.924390e-16
