Ls TT EB_gmv TEB_gmv EB_iter EB_iter_ext TEB_iter TEB_iter_ext
2 3.188072e-08 5.031463e-10 4.882411e-10 5.002604e-11 4.003053e-11 5.109365e-11 4.096646e-11
3 6.297600e-09 9.938801e-11 9.644686e-11 1.174774e-11 9.404048e-12 1.173276e-11 9.445693e-12
4 1.992649e-09 3.144747e-11 3.051899e-11 4.129074e-12 3.305781e-12 4.106570e-12 3.308855e-12
5 8.162141e-10 1.288114e-11 1.250123e-11 1.813723e-12 1.452187e-12 1.792339e-12 1.445808e-12
6 3.936345e-10 6.212115e-12 6.029007e-12 9.192593e-13 7.360495e-13 9.061896e-13 7.313161e-13
7 2.124814e-10 3.353238e-12 3.254435e-12 5.149719e-13 4.123480e-13 5.061315e-13 4.086749e-13
8 1.245574e-10 1.965669e-12 1.907770e-12 3.106883e-13 2.487788e-13 3.048923e-13 2.462517e-13
9 7.776373e-11 1.227202e-12 1.191063e-12 1.984721e-13 1.589258e-13 1.944329e-13 1.570849e-13
10 5.102304e-11 8.051998e-13 7.814928e-13 1.326862e-13 1.062492e-13 1.298538e-13 1.049297e-13
11 3.485106e-11 5.499866e-13 5.337973e-13 9.205456e-14 7.371397e-14 8.998830e-14 7.273042e-14
12 2.460839e-11 3.883461e-13 3.769166e-13 6.586190e-14 5.274032e-14 6.433688e-14 5.200521e-14
13 1.786725e-11 2.819638e-13 2.736672e-13 4.836257e-14 3.872770e-14 4.720554e-14 3.816287e-14
14 1.328443e-11 2.096424e-13 2.034749e-13 3.631116e-14 2.907744e-14 3.542322e-14 2.864041e-14
15 1.008127e-11 1.590935e-13 1.544143e-13 2.779248e-14 2.225599e-14 2.709708e-14 2.191087e-14
16 7.788014e-12 1.229039e-13 1.192898e-13 2.163303e-14 1.732370e-14 2.108288e-14 1.704910e-14
17 6.111370e-12 9.644496e-14 9.360955e-14 1.709014e-14 1.368587e-14 1.664807e-14 1.346392e-14
18 4.862651e-12 7.673908e-14 7.448362e-14 1.368017e-14 1.095525e-14 1.332185e-14 1.077457e-14
19 3.917227e-12 6.181949e-14 6.000297e-14 1.108027e-14 8.873295e-15 1.078624e-14 8.724389e-15
20 3.190834e-12 5.035640e-14 4.887708e-14 9.070025e-15 7.263513e-15 8.826928e-15 7.140000e-15
21 2.625302e-12 4.143181e-14 4.021499e-14 7.495933e-15 6.002994e-15 7.292938e-15 5.899509e-15
22 2.179712e-12 3.440001e-14 3.338998e-14 6.249173e-15 5.004594e-15 6.078568e-15 4.917395e-15
