Ls TT EB_gmv TEB_gmv EB_iter EB_iter_ext TEB_iter TEB_iter_ext
2 1.488966e-08 1.193731e-09 1.007139e-09 1.736113e-10 1.424761e-10 1.156350e-10 1.005879e-10
3 2.941274e-09 2.358031e-10 1.990466e-10 3.545312e-11 2.899309e-11 2.660234e-11 2.276744e-11
4 9.306916e-10 7.461143e-11 6.298972e-11 1.189201e-11 9.714736e-12 9.372861e-12 7.965800e-12
5 3.812371e-10 3.056174e-11 2.580227e-11 5.110978e-12 4.173205e-12 4.143648e-12 3.507331e-12
6 1.838656e-10 1.473906e-11 1.244410e-11 2.559424e-12 2.089262e-12 2.113605e-12 1.784267e-12
7 9.925426e-11 7.956138e-12 6.717544e-12 1.423244e-12 1.161606e-12 1.190878e-12 1.003403e-12
8 5.818623e-11 4.663983e-12 3.938057e-12 8.544832e-13 6.973252e-13 7.220555e-13 6.075134e-13
9 3.632903e-11 2.911874e-12 2.458757e-12 5.440045e-13 4.439152e-13 4.632485e-13 3.893241e-13
10 2.383810e-11 1.910607e-12 1.613371e-12 3.627906e-13 2.960244e-13 3.108520e-13 2.610104e-13
11 1.628362e-11 1.305065e-12 1.102089e-12 2.512281e-13 2.049835e-13 2.163604e-13 1.815337e-13
12 1.149875e-11 9.215362e-13 7.782514e-13 1.794866e-13 1.464420e-13 1.552369e-13 1.301671e-13
13 8.349512e-12 6.691166e-13 5.651114e-13 1.316470e-13 1.074063e-13 1.142752e-13 9.576900e-14
14 6.208441e-12 4.975122e-13 4.202061e-13 9.875052e-14 8.056475e-14 8.598877e-14 7.202980e-14
15 4.711889e-12 3.775675e-13 3.189198e-13 7.552555e-14 6.161516e-14 6.594533e-14 5.521752e-14
16 3.640396e-12 2.916932e-13 2.464012e-13 5.874955e-14 4.792775e-14 5.142104e-14 4.304041e-14
17 2.856972e-12 2.289077e-13 1.933784e-13 4.638674e-14 3.784127e-14 4.068739e-14 3.404510e-14
18 2.273458e-12 1.821458e-13 1.538863e-13 3.711360e-14 3.027573e-14 3.261606e-14 2.728345e-14
19 1.831649e-12 1.467408e-13 1.239841e-13 3.004765e-14 2.451105e-14 2.645205e-14 2.212135e-14
20 1.492172e-12 1.195376e-13 1.010080e-13 2.458710e-14 2.005621e-14 2.167888e-14 1.812523e-14
21 1.227859e-12 9.835800e-14 8.311862e-14 2.031326e-14 1.656957e-14 1.793619e-14 1.499270e-14
22 1.019587e-12 8.166981e-14 6.902230e-14 1.692954e-14 1.380914e-14 1.496805e-14 1.250906e-14
23 8.536857e-13 6.837689e-14 5.779342e-14 1.422236e-14 1.160067e-14 1.258972e-14 1.051942e-14
24 7.202132e-13 5.768294e-14 4.875945e-14 1.203563e-14 9.816806e-15 1.066593e-14 8.910370e-15
25 6.118522e-13 4.900124e-14 4.142497e-14 1.025372e-14 8.363205e-15 9.096251e-15 7.597761e-15
26 5.231387e-13 4.189396e-14 3.542028e-14 8.789913e-15 7.169112e-15 7.805236e-15 6.518379e-15
27 4.499490e-13 3.603055e-14 3.046620e-14 7.578402e-15 6.180845e-15 6.735545e-15 5.624192e-15
28 3.891319e-13 3.115860e-14 2.634960e-14 6.568743e-15 5.357247e-15 5.843148e-15 4.878333e-15
29 3.382607e-13 2.708351e-14 2.290609e-14 5.721874e-15 4.666451e-15 5.093908e-15 4.252218e-15
30 2.954448e-13 2.365385e-14 2.000782e-14 5.007281e-15 4.083563e-15 4.461117e-15 3.723493e-15
31 2.592009e-13 2.075075e-14 1.755437e-14 4.400919e-15 3.588965e-15 3.923706e-15 3.274524e-15
32 2.283537e-13 1.828005e-14 1.546620e-14 3.883692e-15 3.167080e-15 3.464925e-15 2.891293e-15
33 2.019671e-13 1.616669e-14 1.367992e-14 3.440324e-15 2.805445e-15 3.071356e-15 2.562577e-15
34 1.792884e-13 1.435039e-14 1.214463e-14 3.058509e-15 2.494020e-15 2.732181e-15 2.279325e-15
35 1.597097e-13 1.278243e-14 1.081915e-14 2.728266e-15 2.224665e-15 2.438618e-15 2.034193e-15
36 1.427353e-13 1.142313e-14 9.669981e-15 2.441456e-15 1.990739e-15 2.183497e-15 1.821183e-15
37 1.279608e-13 1.024001e-14 8.669689e-15 2.191398e-15 1.786791e-15 1.960929e-15 1.635373e-15
38 1.150521e-13 9.206367e-15 7.795702e-15 1.972581e-15 1.608327e-15 1.766052e-15 1.472697e-15
