Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv TEB_iter TEB_iter_ext
2 4.492005e-08 5.257560e-08 9.138916e-08 4.036302e-08 8.905889e-09 1.533141e-08 7.296053e-09 5.627828e-09 3.122352e-09 3.029811e-09
3 8.873170e-09 1.038616e-08 1.805250e-08 7.973541e-09 1.759209e-09 3.028585e-09 1.441229e-09 1.111700e-09 6.481964e-10 6.289296e-10
4 2.807605e-09 3.286630e-09 5.712066e-09 2.523112e-09 5.566339e-10 9.583348e-10 4.560278e-10 3.517614e-10 2.204462e-10 2.138766e-10
5 1.150031e-09 1.346409e-09 2.339737e-09 1.033590e-09 2.280021e-10 3.925718e-10 1.867962e-10 1.440882e-10 9.430434e-11 9.149769e-11
6 5.546232e-10 6.494318e-10 1.128389e-09 4.985249e-10 1.099576e-10 1.893406e-10 9.008737e-11 6.949097e-11 4.723221e-11 4.582672e-11
7 2.993821e-10 3.506248e-10 6.091043e-10 2.691376e-10 5.935418e-11 1.022149e-10 4.862965e-11 3.751203e-11 2.617103e-11 2.539303e-11
8 1.754990e-10 2.055824e-10 3.570647e-10 1.577948e-10 3.479356e-11 5.992572e-11 2.850766e-11 2.199059e-11 1.569398e-11 1.522762e-11
9 1.095678e-10 1.283812e-10 2.229271e-10 9.853267e-11 2.172232e-11 3.741782e-11 1.779850e-11 1.372984e-11 9.966825e-12 9.670853e-12
10 7.189075e-11 8.425810e-11 1.462723e-10 6.466350e-11 1.425265e-11 2.455458e-11 1.167855e-11 9.009039e-12 6.639010e-12 6.441932e-12
11 4.910484e-11 5.756990e-11 9.991330e-11 4.417826e-11 9.735236e-12 1.677469e-11 7.977331e-12 6.153969e-12 4.589391e-12 4.453225e-12
12 3.467320e-11 4.066402e-11 7.055117e-11 3.120223e-11 6.874099e-12 1.184681e-11 5.633085e-12 4.345633e-12 3.275665e-12 3.178508e-12
13 2.517509e-11 2.953558e-11 5.122642e-11 2.266103e-11 4.991061e-12 8.603259e-12 4.090200e-12 3.155448e-12 2.399529e-12 2.328386e-12
14 1.871801e-11 2.196874e-11 3.808873e-11 1.685368e-11 3.710922e-12 6.397981e-12 3.041279e-12 2.346299e-12 1.798551e-12 1.745240e-12
15 1.420482e-11 1.667881e-11 2.890599e-11 1.279400e-11 2.816168e-12 4.856433e-12 2.308114e-12 1.780721e-12 1.374259e-12 1.333538e-12
16 1.097366e-11 1.289074e-11 2.233162e-11 9.887068e-12 2.175581e-12 3.752653e-12 1.783200e-12 1.375786e-12 1.068370e-12 1.036720e-12
17 8.611295e-12 1.012055e-11 1.752486e-11 7.761379e-12 1.707235e-12 2.945557e-12 1.399412e-12 1.079716e-12 8.429574e-13 8.179922e-13
18 6.851861e-12 8.056870e-12 1.394484e-11 6.177928e-12 1.358422e-12 2.344372e-12 1.113567e-12 8.591994e-13 6.741365e-13 6.541754e-13
19 5.519761e-12 6.494015e-12 1.123429e-11 4.978839e-12 1.094329e-12 1.889141e-12 8.971411e-13 6.922340e-13 5.455034e-13 5.293549e-13
20 4.496271e-12 5.292899e-12 9.151646e-12 4.057358e-12 8.914195e-13 1.539323e-12 7.308488e-13 5.639429e-13 4.462178e-13 4.330111e-13
21 3.699430e-12 4.357496e-12 7.530162e-12 3.339784e-12 7.334435e-13 1.266929e-12 6.013764e-13 4.640558e-13 3.685118e-13 3.576072e-13
22 3.071585e-12 3.620250e-12 6.252534e-12 2.774269e-12 6.089714e-13 1.052271e-12 4.993587e-13 3.853483e-13 3.070510e-13 2.979668e-13
23 2.571490e-12 3.032827e-12 5.234843e-12 2.323715e-12 5.098260e-13 8.812602e-13 4.180954e-13 3.226518e-13 2.578794e-13 2.502514e-13
24 2.169182e-12 2.560109e-12 4.416124e-12 1.961172e-12 4.300670e-13 7.436645e-13 3.527190e-13 2.722114e-13 2.181936e-13 2.117406e-13
