Ls TT EB_gmv TEB_gmv
2 4.492029e-08 7.303601e-09 5.630647e-09
3 8.873216e-09 1.442721e-09 1.112257e-09
4 2.807620e-09 4.564994e-10 3.519382e-10
5 1.150037e-09 1.869892e-10 1.441607e-10
6 5.546261e-10 9.018030e-11 6.952594e-11
7 2.993837e-10 4.867975e-11 3.753091e-11
8 1.754999e-10 2.853699e-11 2.200164e-11
9 1.095683e-10 1.781679e-11 1.373673e-11
10 7.189113e-11 1.169054e-11 9.013562e-12
11 4.910510e-11 7.985513e-12 6.157058e-12
12 3.467338e-11 5.638859e-12 4.347815e-12
13 2.517523e-11 4.094391e-12 3.157034e-12
14 1.871811e-11 3.044394e-12 2.347479e-12
15 1.420490e-11 2.310478e-12 1.781618e-12
16 1.097372e-11 1.785027e-12 1.376480e-12
17 8.611342e-12 1.400846e-12 1.080261e-12
18 6.851898e-12 1.114708e-12 8.596340e-13
19 5.519791e-12 8.980608e-13 6.925846e-13
20 4.496296e-12 7.315984e-13 5.642290e-13
21 3.699451e-12 6.019934e-13 4.642915e-13
22 3.071602e-12 4.998712e-13 3.855442e-13
23 2.571504e-12 4.185246e-13 3.228159e-13
24 2.169194e-12 3.530812e-13 2.723498e-13
25 1.842596e-12 2.999510e-13 2.313781e-13
26 1.575235e-12 2.564552e-13 1.978352e-13
27 1.354672e-12 2.205708e-13 1.701614e-13
28 1.171462e-12 1.907539e-13 1.471670e-13
29 1.018393e-12 1.658145e-13 1.279361e-13
30 8.895722e-13 1.448246e-13 1.117503e-13
31 7.805477e-13 1.270567e-13 9.804902e-14
32 6.877549e-13 1.119349e-13 8.638764e-14
33 6.083253e-13 9.899954e-14 7.641113e-14
34 5.400616e-13 8.788212e-14 6.783645e-14
35 4.811298e-13 7.828437e-14 6.043359e-14
36 4.300097e-13 6.996341e-14 5.401483e-14
37 3.855131e-13 6.272078e-14 4.842763e-14
38 3.466353e-13 5.639297e-14 4.354591e-14
39 3.125450e-13 5.084467e-14 3.926535e-14
40 2.825319e-13 4.596326e-14 3.549881e-14
41 2.560414e-13 4.165487e-14 3.217425e-14
42 2.325885e-13 3.784060e-14 2.923082e-14
43 2.117641e-13 3.445393e-14 2.661723e-14
44 1.932224e-13 3.143858e-14 2.429007e-14
45 1.766693e-13 2.874669e-14 2.221244e-14
46 1.618439e-13 2.633742e-14 2.035268e-14
47 1.485529e-13 2.417600e-14 1.868429e-14
48 1.365925e-13 2.223231e-14 1.718375e-14
49 1.258212e-13 2.048063e-14 1.583149e-14
50 1.160860e-13 1.889853e-14 1.460997e-14
51 1.072763e-13 1.746671e-14 1.350442e-14
52 9.929315e-14 1.616839e-14 1.250197e-14
53 9.203522e-14 1.498881e-14 1.159106e-14
54 8.542977e-14 1.391519e-14 1.076192e-14
55 7.940788e-14 1.293634e-14 1.000600e-14
56 7.391110e-14 1.204236e-14 9.315570e-15
57 6.888403e-14 1.122455e-14 8.683949e-15
58 6.427897e-14 1.047527e-14 8.105227e-15
59 6.005318e-14 9.787700e-15 7.574119e-15
60 5.616997e-14 9.155878e-15 7.086109e-15
61 5.259545e-14 8.574404e-15 6.636898e-15
62 4.930356e-14 8.038560e-15 6.222919e-15
63 4.626483e-14 7.544118e-15 5.840922e-15
64 4.345859e-14 7.087257e-15 5.487883e-15
65 4.085991e-14 6.664634e-15 5.161310e-15
66 3.845490e-14 6.273202e-15 4.858832e-15
67 3.622491e-14 5.910220e-15 4.578299e-15
68 3.415307e-14 5.573243e-15 4.317837e-15
69 3.222850e-14 5.260074e-15 4.075775e-15
70 3.043807e-14 4.968711e-15 3.850550e-15
71 2.877007e-14 4.697343e-15 3.640740e-15
72 2.721640e-14 4.444367e-15 3.445164e-15
73 2.576534e-14 4.208284e-15 3.262618e-15
74 2.441019e-14 3.987767e-15 3.092102e-15
75 2.314324e-14 3.781585e-15 2.932642e-15
