Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv TEB_iter TEB_iter_ext
2 2.108647e-08 1.832165e-08 2.741647e-07 1.493833e-08 2.671748e-08 5.902512e-09 9.581245e-09 4.833528e-09 1.497952e-09 1.445360e-09
3 4.165466e-09 3.619588e-09 5.415626e-08 2.951150e-09 5.277545e-09 1.166048e-09 1.892746e-09 9.548510e-10 3.645071e-10 3.515718e-10
4 1.318066e-09 1.145487e-09 1.713549e-08 9.339082e-10 1.669856e-09 3.689982e-10 5.989375e-10 3.021537e-10 1.307625e-10 1.260908e-10
5 5.399150e-10 4.693117e-10 7.018759e-09 3.826111e-10 6.839768e-10 1.511690e-10 2.453592e-10 1.237803e-10 5.823979e-11 5.614925e-11
6 2.603945e-10 2.263979e-10 3.384853e-09 1.845627e-10 3.298522e-10 7.291734e-11 1.183450e-10 5.970400e-11 2.981270e-11 2.873887e-11
7 1.405666e-10 1.222491e-10 1.827082e-09 9.965251e-11 1.780475e-10 3.936903e-11 6.389225e-11 3.223352e-11 1.682813e-11 1.622040e-11
8 8.240557e-11 7.169071e-11 1.071017e-09 5.843501e-11 1.043692e-10 2.308421e-11 3.746104e-11 1.889930e-11 1.021345e-11 9.843844e-12
9 5.145105e-11 4.477766e-11 6.686410e-10 3.649516e-11 6.515786e-11 1.441617e-11 2.339278e-11 1.180198e-11 6.556423e-12 6.318765e-12
10 3.376121e-11 2.939435e-11 4.387031e-10 2.395507e-11 4.275059e-11 9.461965e-12 1.535242e-11 7.745654e-12 4.401150e-12 4.241401e-12
11 2.306241e-11 2.008861e-11 2.996459e-10 1.636961e-11 2.919962e-11 6.465299e-12 1.048924e-11 5.292174e-12 3.064107e-12 2.952763e-12
12 1.628599e-11 1.419309e-11 2.115746e-10 1.156419e-11 2.061719e-11 4.566977e-12 7.408664e-12 3.738007e-12 2.198954e-12 2.118973e-12
13 1.182586e-11 1.031180e-11 1.536120e-10 8.400757e-12 1.496883e-11 3.317361e-12 5.380904e-12 2.714981e-12 1.619066e-12 1.560130e-12
14 8.793597e-12 7.672305e-12 1.142082e-10 6.249578e-12 1.112901e-11 2.467643e-12 4.002145e-12 2.019371e-12 1.218571e-12 1.174184e-12
15 6.674082e-12 5.826766e-12 8.666746e-11 4.745570e-12 8.445239e-12 1.873590e-12 3.038288e-12 1.533082e-12 9.347606e-13 9.006912e-13
16 5.156555e-12 4.504966e-12 6.695049e-11 3.668463e-12 6.523876e-12 1.448177e-12 2.348097e-12 1.184858e-12 7.290852e-13 7.024988e-13
17 4.046989e-12 3.538174e-12 5.253532e-11 2.880708e-12 5.119166e-12 1.137065e-12 1.843382e-12 9.302098e-13 5.770774e-13 5.560250e-13
18 3.220555e-12 2.817817e-12 4.179952e-11 2.293801e-12 4.073003e-12 9.052891e-13 1.467402e-12 7.405095e-13 4.627638e-13 4.458754e-13
19 2.594799e-12 2.272170e-12 3.367146e-11 1.849279e-12 3.280959e-12 7.297535e-13 1.182676e-12 5.968489e-13 3.754554e-13 3.617489e-13
20 2.113979e-12 1.852729e-12 2.742662e-11 1.507608e-12 2.672430e-12 5.948412e-13 9.638613e-13 4.864419e-13 3.078397e-13 2.965985e-13
21 1.739605e-12 1.526005e-12 2.256483e-11 1.241491e-12 2.198674e-12 4.897694e-13 7.934600e-13 4.004611e-13 2.548148e-13 2.455077e-13
22 1.444604e-12 1.268435e-12 1.873425e-11 1.031721e-12 1.825406e-12 4.069516e-13 6.591620e-13 3.326955e-13 2.127569e-13 2.049844e-13
23 1.209611e-12 1.063159e-12 1.568318e-11 8.645580e-13 1.528100e-12 3.409597e-13 5.521604e-13 2.787023e-13 1.790508e-13 1.725086e-13
24 1.020554e-12 8.979239e-13 1.322879e-11 7.300172e-13 1.288937e-12 2.878522e-13 4.660562e-13 2.352527e-13 1.517812e-13 1.462346e-13
25 8.670623e-13 7.637019e-13 1.123636e-11 6.207413e-13 1.094790e-12 2.447154e-13 3.961346e-13 1.999994e-13 1.295262e-13 1.247924e-13
26 7.413985e-13 6.537543e-13 9.605359e-12 5.312391e-13 9.358626e-13 2.094719e-13 3.388769e-13 1.711553e-13 1.112178e-13 1.071527e-13
27 6.377197e-13 5.629910e-13 8.259891e-12 4.573631e-13 8.047589e-13 1.803488e-13 2.916256e-13 1.473194e-13 9.604411e-14 9.253341e-14
28 5.523887e-13 4.875256e-13 7.142012e-12 3.959469e-13 6.958325e-13 1.561160e-13 2.523520e-13 1.274992e-13 8.338173e-14 8.033375e-14
29 4.807552e-13 4.243606e-13 6.207047e-12 3.445480e-13 6.047300e-13 1.358327e-13 2.194916e-13 1.109102e-13 7.274738e-14 7.008807e-14
30 4.201710e-13 3.711625e-13 5.420225e-12 3.012656e-13 5.280631e-13 1.187501e-13 1.918265e-13 9.694121e-14 6.376291e-14 6.143201e-14
