Ls TT EB_gmv TEB_gmv
2 2.108654e-08 9.606568e-09 4.837383e-09
3 4.165480e-09 1.897738e-09 9.556150e-10
4 1.318070e-09 6.005153e-10 3.023973e-10
5 5.399168e-10 2.460030e-10 1.238796e-10
6 2.603953e-10 1.186549e-10 5.975188e-11
7 1.405671e-10 6.405919e-11 3.225930e-11
8 8.240584e-11 3.755869e-11 1.891436e-11
9 5.145122e-11 2.345368e-11 1.181139e-11
10 3.376132e-11 1.539235e-11 7.751832e-12
11 2.306249e-11 1.051651e-11 5.296402e-12
12 1.628604e-11 7.427929e-12 3.741005e-12
13 1.182590e-11 5.394904e-12 2.717161e-12
14 8.793627e-12 4.012568e-12 2.021000e-12
15 6.674105e-12 3.046211e-12 1.534324e-12
16 5.156573e-12 2.354231e-12 1.185823e-12
17 4.047003e-12 1.848205e-12 9.309697e-13
18 3.220566e-12 1.471248e-12 7.411166e-13
19 2.594808e-12 1.185780e-12 5.973394e-13
20 2.113986e-12 9.663935e-13 4.868423e-13
21 1.739611e-12 7.955460e-13 4.007906e-13
22 1.444610e-12 6.608962e-13 3.329693e-13
23 1.209615e-12 5.536140e-13 2.789316e-13
24 1.020557e-12 4.672840e-13 2.354465e-13
25 8.670655e-13 3.971790e-13 2.001333e-13
26 7.414013e-13 3.397711e-13 1.712151e-13
27 6.377221e-13 2.923959e-13 1.473501e-13
28 5.523908e-13 2.530672e-13 1.275717e-13
29 4.807571e-13 2.201458e-13 1.110047e-13
30 4.201726e-13 1.924124e-13 9.703609e-14
31 3.688143e-13 1.689244e-13 8.520260e-14
32 3.250533e-13 1.489249e-13 7.512431e-14
33 2.875739e-13 1.318089e-13 6.649708e-14
34 2.553502e-13 1.170927e-13 5.907877e-14
35 2.275217e-13 1.043831e-13 5.267140e-14
36 2.033826e-13 9.335962e-14 4.711342e-14
37 1.823668e-13 8.376087e-14 4.227344e-14
38 1.640017e-13 7.537108e-14 3.804278e-14
39 1.478955e-13 6.801175e-14 3.433150e-14
40 1.337209e-13 6.153425e-14 3.106465e-14
41 1.212084e-13 5.581468e-14 2.817989e-14
42 1.101296e-13 5.074883e-14 2.562471e-14
43 1.002914e-13 4.624889e-14 2.335485e-14
44 9.153075e-14 4.224048e-14 2.133281e-14
45 8.370890e-14 3.866040e-14 1.952674e-14
46 7.670717e-14 3.545470e-14 1.790944e-14
47 7.042523e-14 3.257733e-14 1.645772e-14
48 6.477533e-14 2.998857e-14 1.515154e-14
49 5.968310e-14 2.765432e-14 1.397371e-14
50 5.508331e-14 2.554500e-14 1.290932e-14
51 5.092002e-14 2.363503e-14 1.194547e-14
52 4.714449e-14 2.190216e-14 1.107095e-14
53 4.371385e-14 2.032695e-14 1.027594e-14
54 4.059110e-14 1.889250e-14 9.551962e-15
55 3.775534e-14 1.758432e-14 8.891933e-15
56 3.517932e-14 1.639032e-14 8.290314e-15
57 3.280877e-14 1.529630e-14 7.738403e-15
58 3.063248e-14 1.429316e-14 7.232204e-15
59 2.863298e-14 1.337182e-14 6.767099e-15
60 2.679503e-14 1.252462e-14 6.339392e-15
61 2.510205e-14 1.174439e-14 5.945413e-15
62 2.354140e-14 1.102489e-14 5.582071e-15
63 2.210000e-14 1.036054e-14 5.246538e-15
64 2.076848e-14 9.746230e-15 4.936226e-15
65 1.953579e-14 9.177574e-15 4.648959e-15
66 1.839380e-14 8.650520e-15 4.382689e-15
67 1.733454e-14 8.161425e-15 4.135566e-15
68 1.635095e-14 7.707046e-15 3.905961e-15
69 1.543643e-14 7.284464e-15 3.692409e-15
70 1.458559e-14 6.891018e-15 3.493563e-15
71 1.379286e-14 6.524307e-15 3.308210e-15
72 1.305381e-14 6.182194e-15 3.135281e-15
73 1.236395e-14 5.862688e-15 2.973762e-15
74 1.171931e-14 5.564012e-15 2.822759e-15
75 1.111660e-14 5.284548e-15 2.681458e-15
76 1.055242e-14 5.022824e-15 2.549116e-15
77 1.002389e-14 4.777493e-15 2.425053e-15
78 9.528401e-15 4.547329e-15 2.308651e-15
79 9.063386e-15 4.331213e-15 2.199344e-15
80 8.626653e-15 4.128118e-15 2.096615e-15
81 8.216169e-15 3.937084e-15 1.999965e-15
82 7.831609e-15 3.757497e-15 1.909235e-15
83 7.475132e-15 3.588568e-15 1.824027e-15
84 7.135496e-15 3.429082e-15 1.743429e-15
85 6.814138e-15 3.278597e-15 1.667352e-15
86 6.510494e-15 3.136484e-15 1.595470e-15
87 6.223665e-15 3.002225e-15 1.527550e-15
88 5.952691e-15 2.875289e-15 1.463321e-15
89 5.696064e-15 2.755183e-15 1.402525e-15
90 5.453284e-15 2.641507e-15 1.344986e-15
91 5.223424e-15 2.533830e-15 1.290475e-15
92 5.005675e-15 2.431761e-15 1.238791e-15
93 4.799294e-15 2.334962e-15 1.189770e-15
94 4.603573e-15 2.243093e-15 1.143233e-15
95 4.417632e-15 2.155874e-15 1.099052e-15
96 4.241308e-15 2.073013e-15 1.057075e-15
97 4.073623e-15 1.994238e-15 1.017157e-15
98 3.914399e-15 1.919325e-15 9.791969e-16
99 3.762851e-15 1.848027e-15 9.430601e-16
100 3.618662e-15 1.780153e-15 9.086590e-16
101 3.481510e-15 1.715489e-15 8.758785e-16
102 3.350819e-15 1.653856e-15 8.446302e-16
103 3.226263e-15 1.595094e-15 8.148379e-16
104 3.107604e-15 1.539030e-15 7.864082e-16
105 2.994372e-15 1.485514e-15 7.592667e-16
106 2.886332e-15 1.434414e-15 7.333490e-16
107 2.783193e-15 1.385600e-15 7.085926e-16
108 2.684681e-15 1.338919e-15 6.848962e-16
109 2.591972e-15 1.294351e-15 6.623295e-16
110 2.503417e-15 1.251802e-15 6.408545e-16
111 2.418188e-15 1.210985e-15 6.201721e-16
112 2.336366e-15 1.171897e-15 6.003578e-16
113 2.257973e-15 1.134454e-15 5.813735e-16
114 2.182829e-15 1.098566e-15 5.631683e-16
115 2.110810e-15 1.064159e-15 5.457099e-16
116 2.041656e-15 1.031162e-15 5.289655e-16
117 1.975496e-15 9.995018e-16 5.128944e-16
118 1.911903e-15 9.691103e-16 4.974615e-16
119 1.850903e-15 9.399307e-16 4.826426e-16
120 1.792363e-15 9.119036e-16 4.684064e-16
121 1.736146e-15 8.849787e-16 4.547318e-16
122 1.682158e-15 8.590957e-16 4.415819e-16
123 1.630293e-15 8.342035e-16 4.289298e-16
124 1.580459e-15 8.102659e-16 4.167649e-16
125 1.532451e-15 7.872334e-16 4.050579e-16
126 1.486374e-15 7.650648e-16 3.937888e-16
127 1.442050e-15 7.437182e-16 3.829347e-16
128 1.399321e-15 7.231565e-16 3.724769e-16
129 1.358263e-15 7.033504e-16 3.624045e-16
130 1.318716e-15 6.842631e-16 3.526969e-16
131 1.280594e-15 6.658599e-16 3.433343e-16
132 1.243890e-15 6.481121e-16 3.343038e-16
133 1.208513e-15 6.309928e-16 3.255927e-16
134 1.174418e-15 6.144689e-16 3.171762e-16
135 1.141575e-15 5.985407e-16 3.090898e-16
136 1.110845e-15 5.831869e-16 3.013276e-16
137 1.080703e-15 5.683442e-16 2.938029e-16
138 1.051550e-15 5.539987e-16 2.865191e-16
139 1.023280e-15 5.401335e-16 2.794739e-16
140 9.959383e-16 5.267251e-16 2.726518e-16
141 9.694485e-16 5.137636e-16 2.660590e-16
142 9.438747e-16 5.012291e-16 2.596826e-16
143 9.191528e-16 4.891011e-16 2.535083e-16
144 8.951892e-16 4.773673e-16 2.475349e-16
145 8.720845e-16 4.660091e-16 2.417500e-16
146 8.496681e-16 4.550108e-16 2.361450e-16
147 8.280038e-16 4.443629e-16 2.307202e-16
148 8.070162e-16 4.340495e-16 2.254647e-16
149 7.867150e-16 4.240558e-16 2.203692e-16
150 7.670596e-16 4.143713e-16 2.154306e-16
151 7.480188e-16 4.049846e-16 2.106433e-16
152 7.295846e-16 3.958841e-16 2.060011e-16
153 7.117264e-16 3.870590e-16 2.014985e-16
154 6.944173e-16 3.784991e-16 1.971307e-16
155 6.776505e-16 3.701942e-16 1.928923e-16
156 6.613525e-16 3.621343e-16 1.887770e-16
157 6.455948e-16 3.543112e-16 1.847818e-16
158 6.303074e-16 3.467174e-16 1.809046e-16
159 6.154839e-16 3.393432e-16 1.771379e-16
160 6.010792e-16 3.321811e-16 1.734797e-16
161 5.870714e-16 3.252264e-16 1.699341e-16
162 5.740018e-16 3.184747e-16 1.665043e-16
163 5.612029e-16 3.119181e-16 1.631841e-16
164 5.486591e-16 3.055417e-16 1.599481e-16
165 5.364131e-16 2.993373e-16 1.567879e-16
166 5.244699e-16 2.933026e-16 1.537108e-16
167 5.128810e-16 2.874329e-16 1.507169e-16
168 5.015918e-16 2.817223e-16 1.478029e-16
169 4.906117e-16 2.761650e-16 1.449649e-16
170 4.799232e-16 2.707559e-16 1.422006e-16
171 4.695167e-16 2.654912e-16 1.395104e-16
172 4.594303e-16 2.603654e-16 1.368902e-16
173 4.495612e-16 2.553729e-16 1.343354e-16
174 4.399757e-16 2.505103e-16 1.318466e-16
175 4.306411e-16 2.457743e-16 1.294237e-16
176 4.215898e-16 2.411596e-16 1.270616e-16
177 4.127576e-16 2.366620e-16 1.247575e-16
178 4.041586e-16 2.322783e-16 1.225112e-16
179 3.957764e-16 2.280053e-16 1.203215e-16
180 3.876208e-16 2.238394e-16 1.181866e-16
181 3.796768e-16 2.197770e-16 1.161040e-16
182 3.719397e-16 2.158143e-16 1.140716e-16
183 3.643807e-16 2.119487e-16 1.120890e-16
184 3.570319e-16 2.081775e-16 1.101549e-16
185 3.498792e-16 2.044966e-16 1.082640e-16
186 3.429080e-16 2.009037e-16 1.064167e-16
187 3.360769e-16 1.973996e-16 1.046262e-16
188 3.296558e-16 1.939823e-16 1.028934e-16
189 3.235439e-16 1.906451e-16 1.011999e-16
190 3.173812e-16 1.873837e-16 9.953659e-17
191 3.113161e-16 1.841973e-16 9.790799e-17
192 3.054311e-16 1.810844e-16 9.631612e-17
193 2.996345e-16 1.780427e-16 9.475987e-17
194 2.939901e-16 1.750699e-16 9.323763e-17
195 2.884384e-16 1.721640e-16 9.174746e-17
196 2.830600e-16 1.693231e-16 9.028850e-17
197 2.777818e-16 1.665453e-16 8.886080e-17
198 2.726231e-16 1.638290e-16 8.746429e-17
199 2.676013e-16 1.611727e-16 8.609875e-17
200 2.626605e-16 1.585747e-16 8.476275e-17
201 2.578456e-16 1.560327e-16 8.345387e-17
202 2.531475e-16 1.535453e-16 8.217155e-17
203 2.485660e-16 1.511114e-16 8.091693e-17
204 2.440688e-16 1.487298e-16 7.968973e-17
205 2.396744e-16 1.463985e-16 7.848797e-17
206 2.353870e-16 1.441161e-16 7.731027e-17
207 2.311916e-16 1.418814e-16 7.615612e-17
208 2.270856e-16 1.396930e-16 7.502531e-17
209 2.230769e-16 1.375498e-16 7.391800e-17
210 2.191519e-16 1.354505e-16 7.283340e-17
211 2.153242e-16 1.333937e-16 7.176822e-17
212 2.115656e-16 1.313782e-16 7.072141e-17
213 2.079285e-16 1.294044e-16 6.970194e-17
214 2.045199e-16 1.274726e-16 6.871833e-17
215 2.011801e-16 1.255804e-16 6.776165e-17
216 1.978382e-16 1.237246e-16 6.681716e-17
217 1.945505e-16 1.219037e-16 6.588184e-17
218 1.913090e-16 1.201176e-16 6.496021e-17
219 1.881572e-16 1.183660e-16 6.405507e-17
220 1.850497e-16 1.166481e-16 6.316706e-17
221 1.819617e-16 1.149632e-16 6.229615e-17
222 1.789744e-16 1.133103e-16 6.144109e-17
223 1.760570e-16 1.116884e-16 6.060069e-17
224 1.731697e-16 1.100969e-16 5.977476e-17
225 1.703500e-16 1.085350e-16 5.896340e-17
226 1.675820e-16 1.070020e-16 5.816659e-17
227 1.648742e-16 1.054974e-16 5.738427e-17
228 1.622300e-16 1.040203e-16 5.661610e-17
229 1.596143e-16 1.025702e-16 5.586142e-17
230 1.570497e-16 1.011462e-16 5.511958e-17
231 1.545476e-16 9.974775e-17 5.439018e-17
232 1.520905e-16 9.837420e-17 5.367288e-17
233 1.496758e-16 9.702503e-17 5.296778e-17
234 1.473269e-16 9.569976e-17 5.227514e-17
235 1.450220e-16 9.439778e-17 5.159433e-17
236 1.427447e-16 9.311829e-17 5.092322e-17
237 1.405208e-16 9.186067e-17 5.026087e-17
238 1.383277e-16 9.062511e-17 4.961265e-17
239 1.361974e-16 8.941205e-17 4.898544e-17
240 1.342910e-16 8.822080e-17 4.837750e-17
241 1.323377e-16 8.704965e-17 4.777881e-17
242 1.303676e-16 8.589723e-17 4.718208e-17
243 1.284398e-16 8.476349e-17 4.658994e-17
244 1.265349e-16 8.364862e-17 4.600685e-17
245 1.246495e-16 8.255240e-17 4.543406e-17
246 1.228062e-16 8.147423e-17 4.487024e-17
247 1.209933e-16 8.041360e-17 4.431429e-17
248 1.192143e-16 7.937008e-17 4.376593e-17
249 1.174464e-16 7.834331e-17 4.322505e-17
250 1.157139e-16 7.733298e-17 4.269183e-17
251 1.140258e-16 7.633885e-17 4.216674e-17
252 1.123543e-16 7.536067e-17 4.165007e-17
253 1.107237e-16 7.439805e-17 4.114146e-17
254 1.091182e-16 7.345059e-17 4.064041e-17
255 1.075256e-16 7.251794e-17 4.014653e-17
256 1.059683e-16 7.159978e-17 3.965960e-17
257 1.044554e-16 7.069581e-17 3.917943e-17
258 1.029516e-16 6.980577e-17 3.870615e-17
259 1.014695e-16 6.892943e-17 3.824004e-17
260 1.000198e-16 6.806649e-17 3.778082e-17
261 9.859643e-17 6.721656e-17 3.732717e-17
262 9.719502e-17 6.637924e-17 3.687777e-17
263 9.582183e-17 6.555450e-17 3.643459e-17
264 9.447009e-17 6.474265e-17 3.600240e-17
265 9.321775e-17 6.394385e-17 3.558477e-17
266 9.202602e-17 6.315744e-17 3.517770e-17
267 9.078930e-17 6.238246e-17 3.477450e-17
268 8.957310e-17 6.161822e-17 3.437101e-17
269 8.836542e-17 6.086475e-17 3.396941e-17
270 8.716173e-17 6.012221e-17 3.357274e-17
271 8.597827e-17 5.939052e-17 3.318222e-17
272 8.481823e-17 5.866937e-17 3.279678e-17
273 8.367715e-17 5.795843e-17 3.241534e-17
274 8.255137e-17 5.725755e-17 3.203799e-17
275 8.144310e-17 5.656667e-17 3.166559e-17
276 8.035512e-17 5.588569e-17 3.129884e-17
277 7.927463e-17 5.521442e-17 3.093742e-17
278 7.820978e-17 5.455258e-17 3.058063e-17
279 7.716710e-17 5.389993e-17 3.022788e-17
280 7.613740e-17 5.325630e-17 2.987898e-17
281 7.512827e-17 5.262155e-17 2.953387e-17
282 7.413606e-17 5.199555e-17 2.919266e-17
283 7.315429e-17 5.137822e-17 2.885595e-17
284 7.218617e-17 5.076949e-17 2.852439e-17
285 7.122932e-17 5.016920e-17 2.819785e-17
286 7.029218e-17 4.957703e-17 2.787493e-17
287 6.937813e-17 4.899268e-17 2.755414e-17
288 6.846515e-17 4.841610e-17 2.723614e-17
289 6.759473e-17 4.784761e-17 2.692447e-17
290 6.677981e-17 4.728753e-17 2.662269e-17
291 6.597031e-17 4.673572e-17 2.633052e-17
292 6.515361e-17 4.619147e-17 2.604329e-17
293 6.433810e-17 4.565409e-17 2.575626e-17
294 6.353505e-17 4.512328e-17 2.546800e-17
295 6.274320e-17 4.459921e-17 2.518062e-17
296 6.195848e-17 4.408204e-17 2.489636e-17
297 6.118137e-17 4.357178e-17 2.461615e-17
298 6.041769e-17 4.306825e-17 2.433961e-17
299 5.966234e-17 4.257130e-17 2.406627e-17
300 5.891655e-17 4.208080e-17 2.379590e-17
301 5.818676e-17 4.159667e-17 2.352849e-17
302 5.745797e-17 4.111884e-17 2.326407e-17
303 5.673514e-17 4.064721e-17 2.300264e-17
304 5.603397e-17 4.018169e-17 2.274416e-17
305 5.533939e-17 3.972216e-17 2.248860e-17
306 5.465218e-17 3.926856e-17 2.223598e-17
307 5.398118e-17 3.882081e-17 2.198644e-17
308 5.331654e-17 3.837886e-17 2.174014e-17
309 5.265805e-17 3.794262e-17 2.149702e-17
310 5.201112e-17 3.751192e-17 2.125651e-17
311 5.137455e-17 3.708658e-17 2.101796e-17
312 5.074424e-17 3.666649e-17 2.078114e-17
313 5.012210e-17 3.625182e-17 2.054754e-17
314 4.952635e-17 3.584281e-17 2.031908e-17
315 4.896216e-17 3.543965e-17 2.009731e-17
316 4.841687e-17 3.504205e-17 1.988089e-17
317 4.786034e-17 3.464954e-17 1.966727e-17
318 4.729412e-17 3.426165e-17 1.945401e-17
319 4.673960e-17 3.387824e-17 1.924063e-17
320 4.619646e-17 3.349942e-17 1.902821e-17
321 4.565888e-17 3.312531e-17 1.881789e-17
322 4.512228e-17 3.275595e-17 1.861030e-17
323 4.459118e-17 3.239125e-17 1.840530e-17
324 4.406833e-17 3.203112e-17 1.820268e-17
325 4.355187e-17 3.167546e-17 1.800223e-17
326 4.304441e-17 3.132422e-17 1.780389e-17
327 4.254513e-17 3.097732e-17 1.760757e-17
328 4.204514e-17 3.063472e-17 1.741322e-17
329 4.155054e-17 3.029637e-17 1.722094e-17
330 4.107029e-17 2.996223e-17 1.703089e-17
331 4.059438e-17 2.963229e-17 1.684326e-17
332 4.012115e-17 2.930646e-17 1.665802e-17
333 3.965810e-17 2.898467e-17 1.647488e-17
334 3.920046e-17 2.866680e-17 1.629352e-17
335 3.874625e-17 2.835279e-17 1.611379e-17
336 3.830400e-17 2.804271e-17 1.593622e-17
337 3.786489e-17 2.773666e-17 1.576156e-17
338 3.742042e-17 2.743474e-17 1.559049e-17
339 3.700308e-17 2.713688e-17 1.542292e-17
340 3.661774e-17 2.684286e-17 1.525802e-17
341 3.622745e-17 2.655245e-17 1.509491e-17
342 3.583124e-17 2.626547e-17 1.493296e-17
343 3.544066e-17 2.598187e-17 1.477220e-17
344 3.504879e-17 2.570166e-17 1.461287e-17
345 3.465574e-17 2.542484e-17 1.445514e-17
346 3.427184e-17 2.515139e-17 1.429909e-17
347 3.389649e-17 2.488126e-17 1.414467e-17
348 3.352494e-17 2.461443e-17 1.399182e-17
349 3.315598e-17 2.435086e-17 1.384050e-17
350 3.278958e-17 2.409052e-17 1.369080e-17
351 3.242652e-17 2.383337e-17 1.354281e-17
352 3.206934e-17 2.357940e-17 1.339662e-17
353 3.171925e-17 2.332856e-17 1.325224e-17
354 3.136956e-17 2.308081e-17 1.310959e-17
355 3.101944e-17 2.283610e-17 1.296859e-17
356 3.067921e-17 2.259439e-17 1.282916e-17
357 3.034669e-17 2.235561e-17 1.269122e-17
358 3.001231e-17 2.211970e-17 1.255466e-17
359 2.968219e-17 2.188659e-17 1.241939e-17
360 2.936212e-17 2.165628e-17 1.228552e-17
361 2.904309e-17 2.142888e-17 1.215355e-17
362 2.872519e-17 2.120453e-17 1.202405e-17
363 2.842186e-17 2.098334e-17 1.189754e-17
364 2.813205e-17 2.076523e-17 1.177386e-17
365 2.784611e-17 2.054995e-17 1.165215e-17
366 2.756211e-17 2.033723e-17 1.153156e-17
367 2.727980e-17 2.012681e-17 1.141134e-17
368 2.699614e-17 1.991869e-17 1.129152e-17
369 2.671116e-17 1.971295e-17 1.117251e-17
370 2.642972e-17 1.950968e-17 1.105472e-17
371 2.615271e-17 1.930893e-17 1.093847e-17
